package,URI,metaLocatedAt,hasControl,isAssertable,hasLevel,independentLevels
domain#000000,domain#000000,domain#PrivateCellularNetwork,domain#AAA,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-AAA-PrivateCellularNetwork,domain#PrivateCellularNetwork,domain#AAA,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-AAA-PublicCellularNetwork,domain#PublicCellularNetwork,domain#AAA,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-AAA-RAN,domain#RAN,domain#AAA,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-AccessControl-BaseStation,domain#BaseStation,domain#AccessControl,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-AntiMalware-BaseStation,domain#BaseStation,domain#AntiMalware,FALSE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-BiometricIDVerifier-BaseStation,domain#BaseStation,domain#BiometricIDVerifier,FALSE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-ChipAndPINVerifier-BaseStation,domain#BaseStation,domain#ChipAndPINVerifier,FALSE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-ContinuousAuthN-BaseStation,domain#BaseStation,domain#ContinuousAuthN,FALSE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-DeviceCertification-BaseStation,domain#BaseStation,domain#DeviceCertification,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-DisableMeshRouting-BaseStation,domain#BaseStation,domain#DisableMeshRouting,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-DisableNetwork-RAN,domain#RAN,domain#DisableNetwork,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-DisableNetworkProvision-BaseStation,domain#BaseStation,domain#DisableNetworkProvision,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-DisabledHost-BaseStation,domain#BaseStation,domain#DisabledHost,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-EncryptedComms-RAN,domain#RAN,domain#EncryptedComms,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-FormalVerification-BaseStation,domain#BaseStation,domain#FormalVerification,TRUE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-HostEncryption-BaseStation,domain#BaseStation,domain#HostEncryption,FALSE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-HostMonitoring-BaseStation,domain#BaseStation,domain#HostMonitoring,FALSE,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#CAS-IndependentInstances-BaseStation,domain#BaseStation,domain#IndependentInstances,TRUE,domain#TrustworthinessLevelSafe,TRUE
