package,URI,requiresTreatmentOf
domain#000000,domain#000000,domain#H.E.CScGcCS.9
package#5G,domain#Anomalies,domain#H.E.CScGcCS.9
package#Application,domain#Anomalies,domain#D.E.HuaID.9
package#Application,domain#Anomalies,domain#D.E.HuaUD.9
package#Application,domain#Anomalies,domain#D.E.HuaVD.9
package#Application,domain#Anomalies,domain#D.E.Huv-iD-P.9
package#Application,domain#Anomalies,domain#P.E.HIP-Hu.9
package#Application,domain#Anomalies,domain#P.E.HuirIPp-xD.9
package#Application,domain#Anomalies,domain#P.E.HuirPsD.9
package#Application,domain#Anomalies,domain#P.E.PpD+noDU.9
package#CloudManagement,domain#Anomalies,domain#H.E.CtDS.9
package#CloudManagement,domain#Anomalies,domain#H.E.CtH-iP.9
package#CloudManagement,domain#Anomalies,domain#H.E.HCt.9
package#CloudManagement,domain#Anomalies,domain#H.E.SHVH.9
package#CloudManagement,domain#Anomalies,domain#Hu.E.Hum-iH-AC.9
package#CloudManagement,domain#Anomalies,domain#P.E.HuiHP.9
package#DataLifecycle,domain#Anomalies,domain#D.E.D+DS-cP-iHu.9
package#DataLifecycle,domain#Anomalies,domain#D.E.D-DS-cP-iHu.9
package#DataLifecycle,domain#Anomalies,domain#D.E.HuaD-DS.9
package#DataLifecycle,domain#Anomalies,domain#P.E.DAVPDA.9
package#DataLifecycle,domain#Anomalies,domain#P.E.HPDDR+DS+DFfi-fiDF.9
package#DataLifecycle,domain#Anomalies,domain#P.E.HPDDR+DS-DA2.9
package#DataLifecycle,domain#Anomalies,domain#P.E.HPDDR+DS-DFfo+foDF.9
package#DataLifecycle,domain#Anomalies,domain#P.E.HPDDR-DS+DFfi-fiDF.9
package#DataLifecycle,domain#Anomalies,domain#P.E.HPDDR-DS-DA2.9
package#DataLifecycle,domain#Anomalies,domain#P.E.HuirPD.9
package#DataLifecycle,domain#Anomalies,domain#P.E.PaD-DS.9
package#DataLifecycle,domain#Anomalies,domain#P.E.PDADAV.9
package#DataLifecycle,domain#Anomalies,domain#P.E.PDI+DO-DS-S.9
package#DataLifecycle,domain#Anomalies,domain#P.E.PDI+DS-S.9
package#DataLifecycle,domain#Anomalies,domain#P.E.PDIDDF-DA.9
package#DataLifecycle,domain#Anomalies,domain#P.E.PDO+DS-S.9
package#GDPR,domain#GDPR,domain#D.GDPR.DFHuoO.1
package#GDPR,domain#GDPR,domain#D.GDPR.DSHuoO.1
package#GDPR,domain#GDPR,domain#D.GDPR.HuDP-St.1
package#GDPR,domain#GDPR,domain#D.GDPR.HuDSH-St.1
package#GDPR,domain#GDPR,domain#D.GDPR.NDFHuoO.1
package#GDPR,domain#GDPR,domain#H.GDPR.HuDSHoJoSt.1
package#GDPR,domain#GDPR,domain#P.GDPR.Hu-aDoPS-o.8
package#GDPR,domain#GDPR,domain#P.GDPR.Hu-aDPoS-i.8
package#GDPR,domain#GDPR,domain#P.GDPR.Hu-aDPS-io.8
