package,URI,hasInferredLink
domain#000000,domain#000000,domain#Link-CellularNetwork-providedBy-Router
package#5G,domain#CP-CN-R+R,domain#Link-CellularNetwork-providedBy-Router
package#5G,domain#CP-CN-R+R,domain#Link-Router-hasPhysicalHost-Router
package#5G,domain#CP-CNHS+AN,domain#Link-BaseStation-connectedTo-CoreNetwork
package#5G,domain#CP-CNHS+AN,domain#Link-BaseStation-hasPhysicalHost-BaseStation
package#5G,domain#CP-CNHS+AN,domain#Link-PhysicalHost-connectedTo-RAN
package#5G,domain#CP-CNHS+AN,domain#Link-RAN-accessibleFrom-Space
package#5G,domain#CP-CNHS+AN,domain#Link-RAN-implements-CellularNetwork
package#5G,domain#CP-CNHS+AN,domain#Link-RAN-providedBy-BaseStation
package#5G,domain#CP-CNR+CN,domain#Link-CoreNetwork-implements-CellularNetwork
package#5G,domain#CP-CNR+CN,domain#Link-CoreNetwork-providedBy-Gateway
package#5G,domain#CP-CcBrR+CSg,domain#Link-LogicalSegment-from-FromSubnet
package#5G,domain#CP-CcBrR+CSg,domain#Link-LogicalSegment-to-ToSubnet
package#5G,domain#CP-CcBrR+CSg,domain#Link-LogicalSegment-via-Gateway
package#5G,domain#CP-CrCcL3+NSg,domain#Link-LogicalSegment-from-FromSubnet
package#5G,domain#CP-CrCcL3+NSg,domain#Link-LogicalSegment-to-ToSubnet
package#5G,domain#CP-CrCcL3+NSg,domain#Link-LogicalSegment-via-Gateway
package#5G,domain#CP-FCNS+aF,domain#Link-CellularNetwork-accessibleFrom-Space
package#5G,domain#CP-L3cCrC+OSg,domain#Link-LogicalSegment-from-FromSubnet
package#5G,domain#CP-L3cCrC+OSg,domain#Link-LogicalSegment-to-ToSubnet
package#5G,domain#CP-L3cCrC+OSg,domain#Link-LogicalSegment-via-Gateway
package#5G,domain#CP-MPCNS+aF,domain#Link-PublicCellularNetwork-accessibleFrom-Space
package#5G,domain#CP-PCN+W,domain#Link-PublicCellularNetwork-accessibleFrom-World
package#5G,domain#CP-PCN+W,domain#Link-World-isWorld-World
package#5G,domain#CP-PCNRWI+ct,domain#Link-Gateway-connectedTo-Internet
package#5G,domain#CP-PcCN+c,domain#Link-Process-controls-RAN
package#5G,domain#CP-RrBcC+NSg,domain#Link-LogicalSegment-from-FromSubnet
package#5G,domain#CP-RrBcC+NSg,domain#Link-LogicalSegment-to-ToSubnet
package#5G,domain#CP-RrBcC+NSg,domain#Link-LogicalSegment-via-Gateway
package#Application,domain#CP-CP+hCLI,domain#Link-Process-hasCLI-Process
package#Application,domain#CP-HuWES+e,domain#Link-Human-hasEmail-Human
package#Application,domain#CP-Hui-uD+aID,domain#Link-Human-assertedInputsData-Data
package#Application,domain#CP-HuiCHDtS-AC+AC,domain#Link-ConsoleHost-hosts-RemoteDesktop
package#Application,domain#CP-HuiCHDtS-AC+AC,domain#Link-Human-interactsWith-RemoteDesktop
package#Application,domain#CP-HuiCHDtS-AC+AC,domain#Link-RemoteDesktop-uses-DesktopService
package#Application,domain#CP-HuirEc-rD+iD,domain#Link-Editor-enablesUserInput-Data
package#Application,domain#CP-HuirEc-rD+iD,domain#Link-Human-inputsData-Data
package#Application,domain#CP-HuirEr-vD-cC-iHu-DS+iD,domain#Link-Human-inputsData-Data
package#Application,domain#CP-HuirEr-vD-cC-iHu-DS+iD,domain#Link-Process-enablesUserInput-Data
package#Application,domain#CP-HuirIPaD+aD,domain#Link-Human-amendsData-Data
package#Application,domain#CP-HuirIPaD+aD,domain#Link-InteractiveProcess-enablesUserUpdate-Data
package#Application,domain#CP-HuirIPp-iD+vD,domain#Link-Human-viewsData-Data
package#Application,domain#CP-HuirIPp-iD+vD,domain#Link-InteractiveProcess-enablesUserOutput-Data
package#Application,domain#CP-HuirPaD+eUI-O+vD,domain#Link-Human-viewsData-Data
package#Application,domain#CP-HuirPaD+eUI-O+vD,domain#Link-Process-enablesUserOutput-Data
package#Application,domain#CP-HuirPc-iD-rC-vHu-DS+vD,domain#Link-Human-viewsData-Data
package#Application,domain#CP-HuirPc-iD-rC-vHu-DS+vD,domain#Link-Process-enablesUserOutput-Data
package#Application,domain#CP-HuirPeI-OD-p+r,domain#Link-Process-receives-Data
package#Application,domain#CP-HuirPeI-OD-p-cC-iHu-DS+c,domain#Link-Process-creates-Data
package#Application,domain#CP-HuirPeID+iD,domain#Link-Human-inputsData-Data
package#Application,domain#CP-HuirPeO-ID-p+r,domain#Link-Process-receives-Data
package#Application,domain#CP-HuirPeOD+vD,domain#Link-Human-viewsData-Data
package#Application,domain#CP-HuirPeUD+aD,domain#Link-Human-amendsData-Data
package#Application,domain#CP-HuirPeUD-a+a,domain#Link-Process-amends-Data
package#Application,domain#CP-HuirPr-iD-cD+vD,domain#Link-Human-viewsData-Data
package#Application,domain#CP-HuirPr-iD-cD+vD,domain#Link-Process-enablesUserOutput-Data
package#Application,domain#CP-HuirPr-vD-cC-iHu-DS+iD,domain#Link-Human-inputsData-Data
package#Application,domain#CP-HuirPr-vD-cC-iHu-DS+iD,domain#Link-Process-enablesUserInput-Data
package#Application,domain#CP-HuuD+aUD,domain#Link-Human-assertedAmendsData-Data
package#Application,domain#CP-Huv-uD+aVD,domain#Link-Human-assertedViewsData-Data
package#Application,domain#CP-RAC+noDU,domain#Link-RemoteAccessClient-noDU-RemoteAccessClient
package#Application,domain#CP-RAS+noDU,domain#Link-RemoteAccessService-noDU-RemoteAccessService
package#Application,domain#CP-RDuHP-iPL-RAS+DtS,domain#Link-Host-hosts-Service
package#Application,domain#CP-RDuHP-iPL-RAS+DtS,domain#Link-RemoteAccessClient-uses-Service
package#Application,domain#CP-RDuHP-iPL-RAS+DtS,domain#Link-Service-isLnS-Service
package#Application,domain#CP-RDuHP-iPL-RAS+DtS,domain#Link-Service-uses-Process
package#Application,domain#CP-RDuRDuS-uR+uR,domain#Link-RemoteAccessClient-usesRemotely-Process
package#Application,domain#CP-RDuRTuS-uR+uR,domain#Link-RemoteAccessClient-usesRemotely-Process
package#Application,domain#CP-RTuHP-iPL-RAS+LnS,domain#Link-Host-hosts-Service
package#Application,domain#CP-RTuHP-iPL-RAS+LnS,domain#Link-RemoteAccessClient-uses-Service
package#Application,domain#CP-RTuHP-iPL-RAS+LnS,domain#Link-Service-isLnS-Service
package#Application,domain#CP-RTuHP-iPL-RAS+LnS,domain#Link-Service-uses-Process
package#Application,domain#CP-RTuRTuS-uR+uR,domain#Link-RemoteAccessClient-usesRemotely-Process
package#CloudManagement,domain#CP-Ct+iC,domain#Link-Container-isContainer-Container
