package,URI,hasPredecessor,notes,fake,asserted
domain#000000,domain#000000,domain#CP-CNR-CN+CN,CNR-CN+CN creates a link that in BCNH-i-H+p matches LogicalSubnet-providedBy-Gateway,No,Yes
package#5G,domain#CP-BCNH-i-H+p,domain#CP-CNR-CN+CN,CNR-CN+CN creates a link that in BCNH-i-H+p matches LogicalSubnet-providedBy-Gateway,FALSE,TRUE
package#5G,domain#CP-BCNH-i-H+p,domain#CP-CNRLS+i,CNRLS+I creates a link that in BCNH-i-H+p matches LogicalSubnet-implementsCN-CellularNetwork,FALSE,TRUE
package#5G,domain#CP-BSCNSRAN-p+p,domain#CP-CNS-RAN+RAN,CNS-RAN+RAN creates a link that in BSCNSRAN-p+p matches RAN-accessibleFrom-Space,FALSE,TRUE
package#5G,domain#CP-BSCNSRAN-p+p,domain#CP-CNSBSRAN-p+p,CNSBSRAN-p+p creates a link that in BSCNSRAN-p+p matches RAN-providedBy-Host,FALSE,TRUE
package#5G,domain#CP-CNBH+p,domain#CP-BCNH-i-H+p,BCNH-i-H+p creates a link that in CNBH+p matches LogicalSubnet-providedBy-Gateway,FALSE,TRUE
package#5G,domain#CP-CNBH+p,domain#CP-CNRLS+i,CNRLS+i creates a link that in CNBH+p matches LogicalSubnet-implementsCN-CellularNetwork,FALSE,TRUE
package#5G,domain#CP-CNCNBSS+aF,domain#CP-Marker+5GAccess-0,CNCNBSS+aF is at the start of the cellular network accessibility inference sequence,FALSE,TRUE
package#5G,domain#CP-CNHS+RAN+cT,domain#CP-PCNSRAN-p+BS,PCNSRAN-p+BS creates a link that in CNHS+RAN+cT matches RAN-providedBy-Host,FALSE,TRUE
package#5G,domain#CP-CNHS+RAN+cT,domain#CP-UCNSRAN-p+BS,UCNSRAN-p+BS creates a link that in CNHS+RAN+cT matches RAN-providedBy-Host,FALSE,TRUE
package#5G,domain#CP-CNR-CN+CN,domain#CP-PCN-R+R,PCN-R+R creates a link that in CNR-CN+CN matches CellularNetwork-providedBy-Gateway,FALSE,TRUE
package#5G,domain#CP-CNRANS+aF,domain#CP-Marker+5GAccess-0,CNRANS+aF is at the start of the cellular network accessibility inference sequence,FALSE,TRUE
package#5G,domain#CP-CNRLS+i,domain#CP-CNR-CN+CN,CNR-CN+CN creates a link that in CNRLS+I matches LogicalSubnet-providedBy-Gateway,FALSE,TRUE
package#5G,domain#CP-CNRLS+i,domain#CP-PCN-R+R,PCN-R+R creates a link that in CNRLS+I matches CellularNetwork-providedBy-Gateway,FALSE,TRUE
package#5G,domain#CP-CNS-RAN+RAN,domain#CP-RANBSS+aF,RANBSS+aF creates a link that in CNS-RAN+RAN matches LogicalSubnet-accessibleFrom-Space,FALSE,TRUE
package#5G,domain#CP-CNSBSRAN-p+p,domain#CP-CNS-RAN+RAN,CNS-RAN+RAN creates a link that in CNSBSRAN-p+p matches RAN-accessibleFrom-Space,FALSE,TRUE
package#5G,domain#CP-CNSBSRAN-p+p,domain#CP-SRAN-mSBS-S+l,SRAN-mSBS-S+l creates a link that in CNSBSRAN-p+p matches BaseStation-locatedIn-Space,FALSE,TRUE
package#5G,domain#CP-CrCcL3+NSg,domain#CP-Marker+5GConnectivity-0,CrCcL3+NSg is at the start of the 5G segment creation sequence,FALSE,TRUE
package#5G,domain#CP-FCNS+aF,domain#CP-Marker+5GAccess-0,FCNS+aF is at the start of the cellular network accessibility inference sequence,FALSE,TRUE
package#5G,domain#CP-L3c-rBrPR+DSg,domain#CP-Marker+5GConnectivity-0,L3c-rBrPR+DSg is at the start of the 5G segment creation sequence,FALSE,TRUE
package#5G,domain#CP-L3c-rBrUR+CSg,domain#CP-Marker+5GConnectivity-0,L3c-rBrUR+CSg is at the start of the 5G segment creation sequence,FALSE,TRUE
package#5G,domain#CP-L3cCrPC+DSg,domain#CP-Marker+5GConnectivity-0,L3cCrPC+DSg is at the start of the 5G segment creation sequence,FALSE,TRUE
package#5G,domain#CP-L3cCrUC+CSg,domain#CP-Marker+5GConnectivity-0,L3cCrUC+CSg is at the start of the 5G segment creation sequence,FALSE,TRUE
package#5G,domain#CP-L3cGc-rR+NSg,domain#CP-Marker+5GConnectivity-0,L3cGc-rR+NSg is at the start of the 5G segment creation sequence,FALSE,TRUE
package#5G,domain#CP-L3rBrPR+DSg,domain#CP-Marker+5GConnectivity-0,L3rBrPR+DSg is at the start of the 5G segment creation sequence,FALSE,TRUE
package#5G,domain#CP-L3rBrUR+CSg,domain#CP-Marker+5GConnectivity-0,L3rBrUR+CSg is at the start of the 5G segment creation sequence,FALSE,TRUE
package#5G,domain#CP-MPCNS+aF,domain#CP-Marker+5GAccess-0,MPCNS+aF is at the start of the cellular network accessibility inference sequence,FALSE,TRUE
