package,URI,SubsequenceID,SubsequenceURI,ungroup
domain#000000,domain#000000,0,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-BCNH-i-H+p,10,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-BSCNSRAN-p+p,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-CNBH+p,10,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-CNCNBSS+aF,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-CNHS+RAN+cT,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-CNR-CN+CN,10,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-CNRANS+aF,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-CNRLS+i,10,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-CNS-RAN+RAN,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-CNSBSRAN-p+p,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-CrCcL3+NSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-FCNS+aF,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-L3c-rBrPR+DSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-L3c-rBrUR+CSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-L3cCrPC+DSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-L3cCrUC+CSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-L3cGc-rR+NSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-L3rBrPR+DSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-L3rBrUR+CSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-MPCNS+aF,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-Marker+5GAccess-0,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-Marker+5GAccess-1,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-Marker+5GAccess-2,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-Marker+5GAccess-3,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-Marker+5GBackbone-0,10,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-Marker+5GBackbone-1,10,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-Marker+5GConnectivity-0,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-Marker+5GConnectivity-1,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-PCN+W,10,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-PCN-R+R,10,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-PCNRWI+ct,10,domain#S-NonLocalNetworks,FALSE
package#5G,domain#CP-PCNSRAN-p+BS,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-PCc-rBrPR+DSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-PRrBc-rL3+NSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-PRrBrPR+OSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-PcCNLS-S+c,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-RAN+iLS,18,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-RANBSS+aF,0,domain#S-LocalizedNetworks,FALSE
package#5G,domain#CP-RANaf2dS+mS,0,domain#S-HostLocation,FALSE
package#5G,domain#CP-Rc-rGcL3+DSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-RrBc-rC+NSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-RrBrL3+NSg,28,domain#S-NetworkSegments,FALSE
package#5G,domain#CP-SRAN-mSBS-S+l,0,domain#S-HostLocation,FALSE
package#5G,domain#CP-UCNSRAN-p+BS,18,domain#S-LocalizedNetworks,FALSE
