package,URI,label,isVisible,comment,unitCost,performanceImpact
domain#000000,domain#000000,MultipleCellNIC,TRUE,12345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#5G,domain#MultipleCellNIC,MultipleCellNIC,TRUE,Means the host can connect to multiple cellular networks at the same time.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#5G,domain#SIM,SIM,TRUE,"The host has a SIM card installed, which has been registered to an authorised user, allowing authentication of their device, especially when connecting to networks.",domain#CostLow,domain#PerformanceImpactVeryLow
package#Application,domain#AccessPolicy,AccessPolicy,TRUE,There is an access policy associated with data specifying who is authorised to access the data.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Application,domain#StaticData,StaticData,TRUE,"This control signifies that data is static, i.e. inserted into the system during deployment and never changed.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#CloudManagement,domain#AutoDataGovernance,AutoDataGovernance,TRUE,"The Process is managed by a data governance framework such as Fybrik, which can modify its behaviour without the intervention of a human manager.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#CloudManagement,domain#AutoProvisioning,AutoProvisioning,TRUE,Instances of the (virtual) Host can be automatically provisioned to increase capacity to meet loads from hosted processes or other virtual hosts.,domain#CostMedium,domain#PerformanceImpactVeryLow
package#CloudManagement,domain#SLA,SLA,TRUE,The host is subject to a service level agreement negotiated with its data centre that places limits on how far it can be elastically scaled up to meet demand.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#CloudManagement,domain#SLAEnforcement,SLAEnforcement,TRUE,There is a means to enforce capacity limits for the resources allocated to a virtual host.,domain#CostLow,domain#PerformanceImpactLow
package#DataLifecycle,domain#AccessKey,AccessKey,TRUE,The process has a key for encrypting or decrypting data.,domain#CostVeryLow,domain#PerformanceImpactLow
package#DataLifecycle,domain#DisabledDataFlow,DisabledDataFlow,TRUE,"The data flow has been disabled. This is not a contingency plan but a state reached after activation of a contingency plan. It should be selected in current risk calculations to determine the effect of disabling the data flow, or when runtime monitoring detects the data is not flowing.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#DataLifecycle,domain#EncryptedProcessing,EncryptedProcessing,TRUE,"Applies to a data-process relationship (represented by a logical DataUse or DataPool asset), and signifies that the data is processed in the encrypted domain.",domain#CostVeryLow,domain#PerformanceImpactHigh
package#DataLifecycle,domain#Encryption,Encryption,TRUE,Data is encrypted. This may apply to a stored or flowing copy of specific data.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#DataLifecycle,domain#IntegrityProtection,IntegrityProtection,TRUE,"The data is cryptographically verifiable. This may apply to a specific stored or flowing copy of the data. If applied to the data asset to which these relate. For now, we assume the data is normally encrypted after insertion of an integrity check. Encryption ensures updates are by authorised processes (in possession of a key), and thus the signature can be self-signed inside the outermost encryption. This avoids the need to model extra measures such as X509 to bind the signature to the authorised process, although it does mean the model only corresponds to embedded integrity checking information.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#DataLifecycle,domain#ParquetEncryption,ParquetEncryption,TRUE,"The stored data is encrypted using a Parquet encryption schema, minimising the amount of data that must be decrypted to process queries against the data.",domain#CostVeryLow,domain#PerformanceImpactLow
package#DataLifecycle,domain#Replication,Replication,TRUE,"The stored data is replicated, so the asset represents multiple copies providing protection against loss of integrity or availablity due to erroneous or malicious alteration (including encryption) or deletion.",domain#CostLow,domain#PerformanceImpactVeryLow
package#DataLifecycle,domain#SuspendCorruptDataFlow,SuspendCorruptDataFlow,TRUE,"Signifies that a data flow can be blocked if it is corrupt, preventing it from being consumed by the destination process. Used in contingency plan strategies to disable a data flow when it poses a danger to the process.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#DataLifecycle,domain#SuspendOutboundFlow,SuspendOutboundFlow,TRUE,"Signifies that a data flow can be blocked at the source process, preventing it being sent by that process. Used in strategies where there is a risk that the data may be compromised or where sending the data may breach compliance with regulations.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#DataLifecycle,domain#SuspendSensitiveDataFlow,SuspendSensitiveDataFlow,TRUE,"Signifies that a data flow can be blocked by the sender if it is sensitive, preventing it from being consumed by the destination process. Used in contingency plan strategies to disable a data flow when the destination process may not be trustworthy.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#GDPR,domain#GDPRComplianceTraining,GDPRComplianceTraining,TRUE,"The user has undergone training in operational management measures relevant to GDPR compliance for this system, e.g. when and how to suspend the flow of data to prevent breaches of GDPR restrictions. This control can only be applied to an Adult user.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#GDPR,domain#GDPRGovernance,GDPRGovernance,TRUE,The process or data exchange has been examined by lawyers and found to be legal under the GDPR. Used where compliance does not depend only on technical measures.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#GDPR,domain#GDPRPrivacyShield,GDPRPrivacyShield,TRUE,The organisation is registered under the Privacy Shield scheme and so can legally handle personal data under the GDPR despite being outside the EU.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#GDPR,domain#SubjectToGDPR,SubjectToGDPR,TRUE,"The jurisdiction is subject to the GDPR. That is to say, it is an EU member, EEA member, or other state (e.g. a Dependency), such that the GDPR applies to any personal data relating to its citizens and residents.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#IoT,domain#SafeControlMode,SafeControlMode,TRUE,This control applied at an IoT Controller signifies that the Controller is (temporarily) operating in a way that is safe without receiving real time control inputs.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#IoT,domain#SafeControlSetting,SafeControlSetting,TRUE,This control applied at an IoT Controller signifies that the Controller is capable of operating in a way that is safe without receiving real time control inputs.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#IoT,domain#SafeIoTController,SafeIoTController,TRUE,This control applied at an IoT Controller signifies that real-time updating of control inputs is not necessary for safe operation.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#IoT,domain#SafetyTraining,SafetyTraining,TRUE,This control indicates that a Human has been given safety training so they are able to manage risks in the physical world by preventing physical consequences of problems in the IT domain.,domain#CostMedium,domain#PerformanceImpactVeryLow
package#IoT,domain#SuspendUnreliableController,SuspendUnreliableController,TRUE,The controller may be temporarily taken out of service to prevent unreliable behaviour that may threaten safety in the physical environment where it operates.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Legal,domain#LegalCompetenceCheck,LegalCompetenceCheck,TRUE,"The human may or may not be a legally competent adult, so a check is needed to determine this.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Legal,domain#LegalGuardianConsent,LegalGuardianConsent,TRUE,"The human may not be an adult, but authorisation can be obtained from their legal guardian if needed.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
