package,URI,metaLocatedAt
domain#000000,domain#000000,domain#PhysicalHost
package#5G,domain#MultipleCellNIC,domain#PhysicalHost
package#5G,domain#SIM,domain#PhysicalHost
package#Application,domain#AccessPolicy,domain#Data
package#Application,domain#StaticData,domain#Data
package#CloudManagement,domain#AutoDataGovernance,domain#Process
package#CloudManagement,domain#AutoProvisioning,domain#ScalableHost
package#CloudManagement,domain#SLA,domain#ScalableHost
package#CloudManagement,domain#SLAEnforcement,domain#DataCentre
package#DataLifecycle,domain#AccessKey,domain#DataAccess
package#DataLifecycle,domain#DisabledDataFlow,domain#DataFlow
package#DataLifecycle,domain#EncryptedProcessing,domain#DataAccess
package#DataLifecycle,domain#Encryption,domain#DataAsset
package#DataLifecycle,domain#IntegrityProtection,domain#DataAsset
package#DataLifecycle,domain#ParquetEncryption,domain#DataCopy
package#DataLifecycle,domain#Replication,domain#DataCopy
package#DataLifecycle,domain#SuspendCorruptDataFlow,domain#DataFlow
package#DataLifecycle,domain#SuspendOutboundFlow,domain#DataFlow
package#DataLifecycle,domain#SuspendSensitiveDataFlow,domain#DataFlow
package#GDPR,domain#GDPRComplianceTraining,domain#Adult
package#GDPR,domain#GDPRGovernance,domain#DataFlow
package#GDPR,domain#GDPRGovernance,domain#Process
package#GDPR,domain#GDPRPrivacyShield,domain#Organisation
package#GDPR,domain#SubjectToGDPR,domain#Human
package#GDPR,domain#SubjectToGDPR,domain#Jurisdiction
package#IoT,domain#SafeControlMode,domain#Controller
package#IoT,domain#SafeControlSetting,domain#Controller
package#IoT,domain#SafeIoTController,domain#Thing
package#IoT,domain#SafetyTraining,domain#Human
package#IoT,domain#SuspendUnreliableController,domain#Controller
package#Legal,domain#LegalCompetenceCheck,domain#Human
package#Legal,domain#LegalGuardianConsent,domain#Human
package#LocalDeviceConnectivity,domain#DisableMeshRouting,domain#PhysicalHost
package#LocalDeviceConnectivity,domain#DisableTethering,domain#ReverseTetheringSegment
package#LocalDeviceConnectivity,domain#DisableTethering,domain#TetheringSegment
package#LocalDeviceConnectivity,domain#SimpleSecurePairing,domain#PhysicalHost
package#Network,domain#AAA,domain#AbstractSubnet
package#Network,domain#AccessControl,domain#Host
package#Network,domain#AccessControl,domain#Process
package#Network,domain#AntiMalware,domain#Host
package#Network,domain#AuthenticationLimits,domain#ConsoleHost
package#Network,domain#AuthenticationLimits,domain#Process
package#Network,domain#BasicSecurityTraining,domain#Human
package#Network,domain#BiometricIDVerifier,domain#PhysicalHost
package#Network,domain#ChipAndPINVerifier,domain#PhysicalHost
package#Network,domain#Clustering,domain#ClusterHost
package#Network,domain#ContinuousAuthN,domain#Host
package#Network,domain#ContinuousAuthNID,domain#Human
package#Network,domain#ContinuousAuthVerifier,domain#Process
package#Network,domain#DeviceCertification,domain#Host
package#Network,domain#DisabledHost,domain#Host
package#Network,domain#DisabledProcess,domain#Process
package#Network,domain#DisableNetwork,domain#LogicalSubnet
package#Network,domain#DisableNetworkProvision,domain#Host
package#Network,domain#EncryptedComms,domain#RadioSubnet
package#Network,domain#FormalVerification,domain#Host
package#Network,domain#FormalVerification,domain#Process
package#Network,domain#HomomorphicEncryption,domain#Process
package#Network,domain#HostEncryption,domain#PhysicalHost
package#Network,domain#HostMonitoring,domain#Host
package#Network,domain#IndependentInstances,domain#Host
package#Network,domain#KeyManagement,domain#Process
package#Network,domain#LoadMonitoring,domain#Host
package#Network,domain#Logging,domain#Process
package#Network,domain#LowPriority,domain#Process
package#Network,domain#MultipleWiFiNIC,domain#PhysicalHost
package#Network,domain#MultipleWiredNIC,domain#PhysicalHost
package#Network,domain#OneTimeKey,domain#Human
package#Network,domain#OneTimeKeyVerifier,domain#Process
package#Network,domain#OutOfBandKey,domain#Human
package#Network,domain#OutOfBandKeyVerifier,domain#Process
package#Network,domain#Password,domain#Human
package#Network,domain#Password,domain#Process
package#Network,domain#PasswordQualityCheck,domain#ConsoleHost
package#Network,domain#PasswordQualityCheck,domain#Process
package#Network,domain#PasswordReset,domain#Process
package#Network,domain#PasswordStore,domain#Process
package#Network,domain#PasswordVerifier,domain#ConsoleHost
package#Network,domain#PasswordVerifier,domain#Process
package#Network,domain#PenetrationTesting,domain#Host
package#Network,domain#PenetrationTesting,domain#Process
package#Network,domain#PersonalDevice,domain#PhysicalHost
package#Network,domain#PhysicalChecks,domain#PhysicalHost
package#Network,domain#PhysicalDeviceProtection,domain#PhysicalHost
package#Network,domain#PhysicallyObservable,domain#FixedHost
package#Network,domain#ProcessMonitoring,domain#Process
package#Network,domain#RemoteWiping,domain#MobileHost
package#Network,domain#RestrictedShell,domain#RemoteAccessService
package#Network,domain#ScreenLock,domain#ConsoleHost
package#Network,domain#SecureBIOS,domain#PhysicalHost
package#Network,domain#SecureConfig,domain#Host
package#Network,domain#SecureEnclave,domain#Host
package#Network,domain#SecureExecution,domain#Process
package#Network,domain#SecurityTraining,domain#Human
package#Network,domain#SharedKey,domain#Host
package#Network,domain#SharedKeyVerifier,domain#Host
package#Network,domain#SoftwareCertification,domain#Process
package#Network,domain#SoftwarePatched,domain#Host
package#Network,domain#SoftwarePatched,domain#Process
package#Network,domain#SoftwarePatching,domain#Host
package#Network,domain#SoftwareTesting,domain#Host
package#Network,domain#SoftwareTesting,domain#Process
package#Network,domain#SpamFiltering,domain#EmailClient
package#Network,domain#SpamFiltering,domain#EmailService
package#Network,domain#SuspendInfectedHost,domain#Host
package#Network,domain#SuspendInfectedProcess,domain#Process
package#Network,domain#SuspendVulnerableHost,domain#Host
package#Network,domain#SuspendVulnerableService,domain#Process
package#Network,domain#SystemSecurityTraining,domain#Human
package#Network,domain#TLS,domain#Process
package#Network,domain#Unmanaged,domain#Host
package#Network,domain#UsesNoEmail,domain#Human
package#Network,domain#X509,domain#Host
package#Network,domain#X509,domain#Process
package#Network,domain#X509ClientVerifier,domain#Host
package#Network,domain#X509ClientVerifier,domain#Process
package#Network,domain#X509ServiceVerifier,domain#Host
package#Network,domain#X509ServiceVerifier,domain#Process
package#Network,domain#XSSSanitisation,domain#Process
package#NetworkConnectivity,domain#AddressReservation,domain#Interface
package#NetworkConnectivity,domain#BandwidthManagement,domain#Interface
package#NetworkConnectivity,domain#DDoSFiltering,domain#Interface
package#NetworkConnectivity,domain#DisableInterface,domain#Interface
package#NetworkConnectivity,domain#DisableServiceAccess,domain#Interface
