package,URI,label,comment,hasBlockingEffect,currentRisk,futureRisk
domain#000000,domain#000000,HostWithMultipleCellNIC,12345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#5G,domain#CSG-HostWithMultipleCellNIC,HostWithMultipleCellNIC,Means host _Gateway_ has more than one cellular network interface.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#5G,domain#CSG-NetworkEAP-SIM-Client,NetworkEAP.SIM.Client,"If subnet _LogicalSubnet_ uses a AAA service control access, supplicant device _Host_ can connect if it has a SIM card containing a key provisioned by the AAA system.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Application,domain#CSG-AntiMalwareAtHost,AntiMalwareAtHost,"Anti-malware software is installed on device _Host_ and kept up to date by regular software patches, and so can detect and prevent the execution of malicious code.",domain#TrustworthinessLevelVeryHigh,TRUE,TRUE
package#Application,domain#CSG-AntiMalwareAtServiceHost,AntiMalwareAtServiceHost,"Anti-malware software is installed on device _SHost_ and kept up to date by regular software patches, and so can detect and prevent the execution of malicious code.",domain#TrustworthinessLevelVeryHigh,TRUE,TRUE
package#Application,domain#CSG-DataAccessControl,DataAccessControl,The host device _Host_ enforces an access control policy for a stored copy of _Data_.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Application,domain#CSG-DataBaseAccessControl,DataBaseAccessControl,The data service _Service_ enforces an access control policy for a stored copy of _Data_.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Application,domain#CSG-SpamFilteringAtMUA,SpamFilteringAtMUA,Spam filtering functionality is installed on the email user agent _MUA_ (a mail client or a webmail service).,domain#TrustworthinessLevelHigh,TRUE,TRUE
package#Application,domain#CSG-StaticSystemData,StaticSystemData,Data _Data_ is static data inserted into the system on deployment and not altered subsequently by any process in the system. This control strategy is used to negate modelling error threats that detect cases where data is not created by any process.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Application,domain#CSG-SuspendInfectedHost,SuspendInfectedHost,"Device _Host_ may be temporarily disabled by its manager _HostManager_ to prevent it being exploited should it become infected by malware. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it may triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#Application,domain#CSG-SuspendInfectedHost-Implementation-Runtime,SuspendInfectedHost.Implementation,"Device _Host_ has been disabled by its manager _HostManager_ to prevent it being exploited after being infected by malware. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. To activate it at runtime, signal user _HostManager_ who is responsible for managing the device. The Disabled Host control should be deselected only when the host has been restarted.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Application,domain#CSG-SuspendInfectedHost-Trigger,SuspendInfectedHost,"Device _Host_ may be temporarily disabled by its manager _HostManager_ to prevent it being exploited should it become infected by malware. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it may triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Application,domain#CSG-SuspendInfectedProcess,SuspendInfectedProcess,"Process _Process_ may be temporarily disabled by the manager of its host _HostManager_ to prevent it being exploited should it become infected by malware. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it may triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,FALSE,TRUE
