package,URI,hasControlSet,optional
domain#000000,domain#000000,domain#CS-MultipleCellNIC-Gateway,FALSE
package#5G,domain#CSG-HostWithMultipleCellNIC,domain#CS-MultipleCellNIC-Gateway,FALSE
package#5G,domain#CSG-NetworkEAP-SIM-Client,domain#CS-AAA-LogicalSubnet,FALSE
package#5G,domain#CSG-NetworkEAP-SIM-Client,domain#CS-SIM-Host,FALSE
package#Application,domain#CSG-DataAccessControl,domain#CS-AccessControl-Host,FALSE
package#Application,domain#CSG-DataAccessControl,domain#CS-AccessPolicy-Data,FALSE
package#Application,domain#CSG-DataBaseAccessControl,domain#CS-AccessControl-Service,FALSE
package#Application,domain#CSG-DataBaseAccessControl,domain#CS-AccessPolicy-Data,FALSE
package#Application,domain#CSG-StaticSystemData,domain#CS-StaticData-Data,FALSE
package#CloudManagement,domain#CSG-AutomatedHostFaultRecovery,domain#CS-AutoProvisioning-Host,FALSE
package#CloudManagement,domain#CSG-AutomatedHostFaultRecovery,domain#CS-HostMonitoring-Host,FALSE
package#CloudManagement,domain#CSG-AutomatedProcessFaultRecovery,domain#CS-AutoProvisioning-Host,FALSE
package#CloudManagement,domain#CSG-AutomatedProcessFaultRecovery,domain#CS-ProcessMonitoring-Process,FALSE
package#CloudManagement,domain#CSG-AutoProvisioningProcessError,domain#CS-AutoProvisioning-Host,FALSE
package#CloudManagement,domain#CSG-AutoProvisioningProcessError,domain#CS-ProcessMonitoring-Process,FALSE
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow,domain#CS-AutoDataGovernance-FlowsTo,FALSE
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow,domain#CS-SuspendCorruptDataFlow-DataFlow,FALSE
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow-Implementation-Runtime,domain#CS-AutoDataGovernance-FlowsTo,FALSE
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow-Implementation-Runtime,domain#CS-DisabledDataFlow-DataFlow,FALSE
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow-Implementation-Runtime,domain#CS-SuspendCorruptDataFlow-DataFlow,FALSE
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess,domain#CS-AutoDataGovernance-Service,FALSE
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess,domain#CS-SuspendExcessiveClientAccess-ClientChannel,FALSE
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess-Implementation-Runtime,domain#CS-AutoDataGovernance-Service,FALSE
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess-Implementation-Runtime,domain#CS-DisableClientAccess-ClientChannel,FALSE
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess-Implementation-Runtime,domain#CS-SuspendExcessiveClientAccess-ClientChannel,FALSE
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow,domain#CS-AutoDataGovernance-FlowsFrom,FALSE
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow,domain#CS-SuspendSensitiveDataFlow-DataFlow,FALSE
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow-Implementation-Runtime,domain#CS-AutoDataGovernance-FlowsFrom,FALSE
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow-Implementation-Runtime,domain#CS-DisabledDataFlow-DataFlow,FALSE
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow-Implementation-Runtime,domain#CS-SuspendSensitiveDataFlow-DataFlow,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUnauthenticClientAccess,domain#CS-AutoDataGovernance-Service,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUnauthenticClientAccess,domain#CS-SuspendUnauthenticClientAccess-ClientChannel,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUnauthenticClientAccess-Implementation-Runtime,domain#CS-AutoDataGovernance-Service,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUnauthenticClientAccess-Implementation-Runtime,domain#CS-DisableClientAccess-ClientChannel,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUnauthenticClientAccess-Implementation-Runtime,domain#CS-SuspendUnauthenticClientAccess-ClientChannel,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUntrustworthyClientAccess,domain#CS-AutoDataGovernance-Service,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUntrustworthyClientAccess,domain#CS-SuspendUntrustworthyClientAccess-ClientChannel,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUntrustworthyClientAccess-Implementation-Runtime,domain#CS-AutoDataGovernance-Service,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUntrustworthyClientAccess-Implementation-Runtime,domain#CS-DisableClientAccess-ClientChannel,FALSE
package#CloudManagement,domain#CSG-AutoSuspendUntrustworthyClientAccess-Implementation-Runtime,domain#CS-SuspendUntrustworthyClientAccess-ClientChannel,FALSE
package#CloudManagement,domain#CSG-ElasticHosting,domain#CS-AutoProvisioning-Host,FALSE
package#CloudManagement,domain#CSG-ElasticHosting,domain#CS-Clustering-Host,FALSE
package#CloudManagement,domain#CSG-ElasticHosting,domain#CS-LoadMonitoring-Host,FALSE
package#CloudManagement,domain#CSG-SLAEnforcement,domain#CS-SLAEnforcement-DataCentre,FALSE
package#CloudManagement,domain#CSG-SLAEnforcement,domain#CS-SLA-Host,FALSE
package#CloudManagement,domain#CSG-SLAEnforcement-Trigger,domain#CS-SLAEnforcement-DataCentre,FALSE
package#CloudManagement,domain#CSG-SLAEnforcement-Trigger,domain#CS-SLA-Host,FALSE
package#DataLifecycle,domain#CSG-DataAccessKey,domain#CS-AccessKey-DataAccess,FALSE
package#DataLifecycle,domain#CSG-DataFlowEncryption,domain#CS-Encryption-DataFlow,FALSE
package#DataLifecycle,domain#CSG-DataFlowEncryptionFromProcess,domain#CS-Encryption-DataFlow,FALSE
package#DataLifecycle,domain#CSG-DataFlowEncryptionToProcess,domain#CS-Encryption-DataFlow,FALSE
package#DataLifecycle,domain#CSG-DataFlowIntegrityProtection,domain#CS-Encryption-DataFlow,FALSE
package#DataLifecycle,domain#CSG-DataFlowIntegrityProtection,domain#CS-IntegrityProtection-DataFlow,FALSE
package#DataLifecycle,domain#CSG-DataFlowSharedKeyInbound,domain#CS-AccessKey-DataAccess,FALSE
package#DataLifecycle,domain#CSG-DataFlowSharedKeyInbound,domain#CS-Encryption-DataFlow,FALSE
package#DataLifecycle,domain#CSG-DataFlowSharedKeyOutbound,domain#CS-AccessKey-DataAccess,FALSE
package#DataLifecycle,domain#CSG-DataFlowSharedKeyOutbound,domain#CS-Encryption-DataFlow,FALSE
package#DataLifecycle,domain#CSG-DataServiceKey,domain#CS-AccessKey-DataAccess,FALSE
package#DataLifecycle,domain#CSG-DataStorageEncryption,domain#CS-Encryption-DataCopy,FALSE
package#DataLifecycle,domain#CSG-DataStorageIntegrityProtection,domain#CS-Encryption-DataCopy,FALSE
package#DataLifecycle,domain#CSG-DataStorageIntegrityProtection,domain#CS-IntegrityProtection-DataCopy,FALSE
package#DataLifecycle,domain#CSG-DataStorageReplication,domain#CS-Clustering-Host,FALSE
package#DataLifecycle,domain#CSG-DataStorageReplication,domain#CS-Replication-DataCopy,FALSE
package#DataLifecycle,domain#CSG-DisableDataFlow,domain#CS-DisabledDataFlow-DataFlow,FALSE
package#DataLifecycle,domain#CSG-DistinctProcessAccessKeys,domain#CS-AccessKey-AccessFrom,FALSE
package#DataLifecycle,domain#CSG-DistinctProcessAccessKeys,domain#CS-AccessKey-AccessTo,FALSE
package#DataLifecycle,domain#CSG-DistinctProcessAccessKeys,domain#CS-Encryption-DataAsset,FALSE
package#DataLifecycle,domain#CSG-EncryptedDataProcessing,domain#CS-EncryptedProcessing-DataAccess,FALSE
package#DataLifecycle,domain#CSG-EncryptedDataProcessing,domain#CS-HomomorphicEncryption-Process,FALSE
package#DataLifecycle,domain#CSG-EncryptedQueryProcessing,domain#CS-EncryptedProcessing-DataAccess,FALSE
package#DataLifecycle,domain#CSG-EncryptedQueryProcessing,domain#CS-HomomorphicEncryption-Service,FALSE
package#DataLifecycle,domain#CSG-ParquetDataEncryption,domain#CS-ParquetEncryption-DataCopy,FALSE
package#DataLifecycle,domain#CSG-SuspendCorruptDataFlow,domain#CS-SuspendCorruptDataFlow-DataFlow,FALSE
package#DataLifecycle,domain#CSG-SuspendCorruptDataFlow,domain#CS-SystemSecurityTraining-ProcessManager,FALSE
package#DataLifecycle,domain#CSG-SuspendCorruptDataFlow-Implementation-Runtime,domain#CS-DisabledDataFlow-DataFlow,FALSE
package#DataLifecycle,domain#CSG-SuspendCorruptDataFlow-Implementation-Runtime,domain#CS-SuspendCorruptDataFlow-DataFlow,FALSE
package#DataLifecycle,domain#CSG-SuspendCorruptDataFlow-Implementation-Runtime,domain#CS-SystemSecurityTraining-ProcessManager,FALSE
package#DataLifecycle,domain#CSG-SuspendSensitiveDataFlow,domain#CS-SuspendSensitiveDataFlow-DataFlow,FALSE
package#DataLifecycle,domain#CSG-SuspendSensitiveDataFlow,domain#CS-SystemSecurityTraining-ProcessManager,FALSE
package#DataLifecycle,domain#CSG-SuspendSensitiveDataFlow-Implementation-Runtime,domain#CS-DisabledDataFlow-DataFlow,FALSE
package#DataLifecycle,domain#CSG-SuspendSensitiveDataFlow-Implementation-Runtime,domain#CS-SuspendSensitiveDataFlow-DataFlow,FALSE
package#DataLifecycle,domain#CSG-SuspendSensitiveDataFlow-Implementation-Runtime,domain#CS-SystemSecurityTraining-ProcessManager,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-a,domain#CS-ConsentEnforcement-Service,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-a,domain#CS-ConsentInterface-DataSubject,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-a,domain#CS-ConsentManagement-Data,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-a,domain#CS-Logging-Service,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-a,domain#CS-SubjectToGDPR-DataSubject,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-a-p,domain#CS-ConsentInterface-DataSubject,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-a-p,domain#CS-PersonalDevice-SHost,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-a-p,domain#CS-SubjectToGDPR-DataSubject,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-bcef,domain#CS-GDPRGovernance-Process,FALSE
package#GDPR,domain#CSG-GDPR-Art6-1-bcef,domain#CS-Logging-Service,FALSE
