package,URI,triggers
domain#000000,domain#000000,domain#P.E.HuiHP.9
package#CloudManagement,domain#CSG-AutoProvisioningProcessError,domain#P.E.HuiHP.9
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow,domain#DF.A.PDF.6.2
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow,domain#DF.A.PDF.6.3
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow,domain#DF.A.PDF.6.4
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow-Implementation-Runtime,domain#DF.A.PDF.6.1
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess,domain#CC.AX.CCDFSFS.6.4
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess,domain#CC.AX.CCDFSTS.6.4
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess-Implementation-Runtime,domain#CC.AX.CCCS.6.1
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow,domain#DF.A.CCDFCS.6.3
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow,domain#DF.A.CCDFSC.6.3
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow-Implementation-Runtime,domain#DF.A.PDF.6.1
package#CloudManagement,domain#CSG-AutoSuspendUnauthenticClientAccess,domain#CC.AX.CCCS.6.2
package#CloudManagement,domain#CSG-AutoSuspendUnauthenticClientAccess-Implementation-Runtime,domain#CC.AX.CCCS.6.1
package#CloudManagement,domain#CSG-AutoSuspendUntrustworthyClientAccess,domain#CC.AX.CCCS.6.3
package#CloudManagement,domain#CSG-AutoSuspendUntrustworthyClientAccess-Implementation-Runtime,domain#CC.AX.CCCS.6.1
package#CloudManagement,domain#CSG-ElasticHosting,domain#H.O.CVHHHoDC.0
package#CloudManagement,domain#CSG-SLAEnforcement-Trigger,domain#H.A.CVHHDC.0
package#DataLifecycle,domain#CSG-DataAccessKey,domain#DS.Auth.HPsACd-pDS-V.1.6
package#DataLifecycle,domain#CSG-DataAccessKey,domain#DS.C.HPsACr-pDS-V.1.6
package#DataLifecycle,domain#CSG-DataAccessKey,domain#DS.C.HPsACr-pDS-V.2.6
package#DataLifecycle,domain#CSG-DataFlowEncryption,domain#DF.A.PmDFIDADFI-k.6
package#DataLifecycle,domain#CSG-DataFlowEncryption,domain#DF.A.PmDFODADFO-k.6
package#DataLifecycle,domain#CSG-DataFlowEncryption,domain#DF.C.ACDF-VFS-i.3.6
package#DataLifecycle,domain#CSG-DataFlowEncryption,domain#DF.C.ACDF-VTS-i.3.6
package#DataLifecycle,domain#CSG-DataFlowEncryption,domain#DF.X.PDF-V.6
package#DataLifecycle,domain#CSG-DataFlowEncryptionFromProcess,domain#DF.A.HPDSDADF-V.6
package#DataLifecycle,domain#CSG-DataFlowSharedKeyInbound,domain#DF.C.AC-iDF-VTC.2.6
package#DataLifecycle,domain#CSG-DataFlowSharedKeyInbound,domain#DF.C.AC-iDF-VTC.3.6
package#DataLifecycle,domain#CSG-DataFlowSharedKeyOutbound,domain#DF.Auth.AC-iDF-VFC.2.6
package#DataLifecycle,domain#CSG-DataFlowSharedKeyOutbound,domain#DF.Auth.AC-iDF-VFC.3.6
package#DataLifecycle,domain#CSG-DataFlowSharedKeyOutbound,domain#DF.Auth.ACDF-VFS-i.3.6
package#DataLifecycle,domain#CSG-DataServiceKey,domain#DB.O.DSPDF-VDB.6.1
package#DataLifecycle,domain#CSG-DataServiceKey,domain#DB.O.DSPDF-VDB.6.2
package#DataLifecycle,domain#CSG-DataServiceKey,domain#DB.O.HDBsD-V.6
