package,URI,hasNode
domain#000000,domain#000000,domain#Node-OtherSpace-Space
package#5G,domain#DNG-CNRAN2dS-0,domain#Node-OtherSpace-Space
package#5G,domain#DNG-CNRAN2dS-0,domain#Node-Space-Space
package#5G,domain#DNG-CrCcL3-0,domain#Node-FromSubnet-L3Subnet
package#5G,domain#DNG-CrCcL3-0,domain#Node-ToSubnet-L3Subnet
package#5G,domain#DNG-CScGcCS-0,domain#Node-CellularNetwork-CellularNetwork
package#5G,domain#DNG-CScGcCS-0,domain#Node-OtherCellularNetwork-CellularNetwork
package#5G,domain#DNG-L3cCrPC-0,domain#Node-FromSubnet-L3Subnet
package#5G,domain#DNG-L3cCrPC-0,domain#Node-ToSubnet-L3Subnet
package#5G,domain#DNG-L3cCrUC-0,domain#Node-FromSubnet-L3Subnet
package#5G,domain#DNG-L3cCrUC-0,domain#Node-ToSubnet-L3Subnet
package#5G,domain#DNG-L3cGc-rR-0,domain#Node-FromSubnet-L23Subnet
package#5G,domain#DNG-L3cGc-rR-0,domain#Node-ToSubnet-RAN
package#5G,domain#DNG-L3c-rBrPR-0,domain#Node-FromSubnet-L23Subnet
package#5G,domain#DNG-L3c-rBrPR-0,domain#Node-ToSubnet-RAN
package#5G,domain#DNG-L3c-rBrUR-0,domain#Node-FromSubnet-L23Subnet
package#5G,domain#DNG-L3c-rBrUR-0,domain#Node-ToSubnet-RAN
package#5G,domain#DNG-L3rBrUR-0,domain#Node-FromSubnet-L23Subnet
package#5G,domain#DNG-L3rBrUR-0,domain#Node-ToSubnet-RAN
package#5G,domain#DNG-PCc-rBrPR-0,domain#Node-FromSubnet-L23Subnet
package#5G,domain#DNG-PCc-rBrPR-0,domain#Node-ToSubnet-RAN
package#5G,domain#DNG-PRrBc-rL3-0,domain#Node-FromSubnet-RAN
package#5G,domain#DNG-PRrBc-rL3-0,domain#Node-ToSubnet-L23Subnet
package#5G,domain#DNG-PRrBrPR-0,domain#Node-FromSubnet-RAN
package#5G,domain#DNG-PRrBrPR-0,domain#Node-ToSubnet-RAN
package#5G,domain#DNG-Rc-rGcL3-0,domain#Node-FromSubnet-RAN
package#5G,domain#DNG-Rc-rGcL3-0,domain#Node-ToSubnet-L23Subnet
package#5G,domain#DNG-RrBc-rC-0,domain#Node-FromSubnet-RAN
package#5G,domain#DNG-RrBc-rC-0,domain#Node-ToSubnet-L23Subnet
package#5G,domain#DNG-RrBrL3-0,domain#Node-FromSubnet-RAN
package#5G,domain#DNG-RrBrL3-0,domain#Node-ToSubnet-L23Subnet
package#5G,domain#DNG-UCc-rBrUR-0,domain#Node-FromSubnet-L23Subnet
package#5G,domain#DNG-UCc-rBrUR-0,domain#Node-ToSubnet-RAN
package#5G,domain#DNG-URrBc-rL3-0,domain#Node-FromSubnet-RAN
package#5G,domain#DNG-URrBc-rL3-0,domain#Node-ToSubnet-L23Subnet
package#5G,domain#DNG-URrBrUR-0,domain#Node-FromSubnet-RAN
package#5G,domain#DNG-URrBrUR-0,domain#Node-ToSubnet-RAN
package#DataLifecycle,domain#DNG-CSDF-VdDA2-0,domain#Node-Client-Process
package#DataLifecycle,domain#DNG-CSDF-VdDA2-0,domain#Node-Service-Process
package#DataLifecycle,domain#DNG-HDSPDIfdDA-DP-f-0,domain#Node-DataDestination-DataInput
package#DataLifecycle,domain#DNG-HDSPDIfdDA-DP-f-0,domain#Node-DataSource-DataAccess
package#DataLifecycle,domain#DNG-HPDADS2dDO-0,domain#Node-DataOutput-DataOutput
package#DataLifecycle,domain#DNG-HPDADS2dDO-0,domain#Node-DataUse-DataOutput
package#DataLifecycle,domain#DNG-HSDADPPDXP-Hu-DP-0,domain#Node-Process-Process
package#DataLifecycle,domain#DNG-HSDADPPDXP-Hu-DP-0,domain#Node-Service-Process
package#DataLifecycle,domain#DNG-PcPr-uDS-V-0,domain#Node-Client-Process
package#DataLifecycle,domain#DNG-PcPr-uDS-V-0,domain#Node-Service-Process
package#DataLifecycle,domain#DNG-PcPuDS-V-0,domain#Node-Client-Process
package#DataLifecycle,domain#DNG-PcPuDS-V-0,domain#Node-Service-Process
package#DataLifecycle,domain#DNG-SDADPPDXP-Hu-DP-0,domain#Node-Process-Process
package#DataLifecycle,domain#DNG-SDADPPDXP-Hu-DP-0,domain#Node-Service-Process
package#DataLifecycle,domain#DNG-SDADPPDXPRAC-DP-0,domain#Node-Process-Process
package#DataLifecycle,domain#DNG-SDADPPDXPRAC-DP-0,domain#Node-Service-Process
package#DataLifecycle,domain#DNG-SDADPPDXRAC-DP-0,domain#Node-RemoteAccessClient-RemoteAccessClient
package#DataLifecycle,domain#DNG-SDADPPDXRAC-DP-0,domain#Node-Service-Process
package#GDPR,domain#DNG-NDFHuoO-0,domain#Node-Jurisdiction-Jurisdiction
package#GDPR,domain#DNG-NDFHuoO-0,domain#Node-RemoteJurisdiction-Jurisdiction
package#Legal,domain#DNG-DFHuoO-0,domain#Node-Jurisdiction-Jurisdiction
package#Legal,domain#DNG-DFHuoO-0,domain#Node-RemoteJurisdiction-Jurisdiction
package#Legal,domain#DNG-DSHuoO-0,domain#Node-Jurisdiction-Jurisdiction
package#Legal,domain#DNG-DSHuoO-0,domain#Node-RemoteJurisdiction-Jurisdiction
package#LocalDeviceConnectivity,domain#DNG-BPcGcBP-0,domain#Node-FromHost-Host
package#LocalDeviceConnectivity,domain#DNG-BPcGcBP-0,domain#Node-ToHost-Host
package#LocalDeviceConnectivity,domain#DNG-BPcGcBP-1,domain#Node-FromHost-Host
package#LocalDeviceConnectivity,domain#DNG-BPcGcBP-1,domain#Node-Gateway-PhysicalHost
package#LocalDeviceConnectivity,domain#DNG-BPcGcBP-2,domain#Node-Gateway-PhysicalHost
package#LocalDeviceConnectivity,domain#DNG-BPcGcBP-2,domain#Node-ToHost-Host
package#LocalDeviceConnectivity,domain#DNG-HBImSG-0,domain#Node-Host-Host
package#LocalDeviceConnectivity,domain#DNG-HBImSG-0,domain#Node-RemoteHost-Host
package#LocalDeviceConnectivity,domain#DNG-HBISG-0,domain#Node-Host-Host
