package,URI,subClassOf
domain#000000,domain#000000,domain#DumbHost
package#5G,domain#BaseStation,domain#DumbHost
package#5G,domain#BaseStation,domain#FixedHost
package#5G,domain#BaseStation,domain#HostPalette
package#5G,domain#BaseStation,domain#SimpleHost
package#5G,domain#CellularNetwork,domain#AbstractSubnet
package#5G,domain#PrivateCellularNetwork,domain#CellularNetwork
package#5G,domain#PrivateCellularNetwork,domain#NetworkPalette
package#5G,domain#PublicCellularNetwork,domain#CellularNetwork
package#5G,domain#PublicCellularNetwork,domain#NetworkPalette
package#5G,domain#RAN,domain#L2Subnet
package#5G,domain#RAN,domain#RadioSubnet
package#AccessContext,domain#AccessContext,core#Asset
package#Application,domain#ApplicationProcess,domain#GeneralProcess
package#Application,domain#ApplicationProcess,domain#ProcessPalette
package#Application,domain#CmdLineProcess,domain#ConsoleProcess
package#Application,domain#CmdLineProcess,domain#GeneralProcess
package#Application,domain#CmdLineProcess,domain#ProcessPalette
package#Application,domain#ConsoleProcess,domain#InteractiveProcess
package#Application,domain#Data,domain#DataLifecycleAsset
package#Application,domain#Data,domain#DataPalette
package#Application,domain#DataLifecycleAsset,core#Asset
package#Application,domain#DataPalette,core#PaletteType
package#Application,domain#DataService,domain#ProcessPalette
package#Application,domain#DataService,domain#SimpleProcess
package#Application,domain#DB,domain#GeneralProcess
package#Application,domain#DB,domain#ProcessPalette
package#Application,domain#DesktopService,domain#ProcessPalette
package#Application,domain#DesktopService,domain#RemoteAccessService
package#Application,domain#Editor,domain#GeneralProcess
package#Application,domain#Editor,domain#InteractiveProcess
package#Application,domain#Editor,domain#ProcessPalette
package#Application,domain#EmailClient,domain#InteractiveProcess
package#Application,domain#EmailMX,domain#GeneralProcess
package#Application,domain#EmailMX,domain#ProcessPalette
package#Application,domain#InteractiveApplication,domain#ApplicationProcess
package#Application,domain#InteractiveApplication,domain#InteractiveProcess
package#Application,domain#InteractiveApplication,domain#ProcessPalette
package#Application,domain#InteractiveProcess,domain#TypeOverlayProcess
package#Application,domain#RemoteDesktop,domain#ProcessPalette
package#Application,domain#RemoteDesktop,domain#RemoteAccessClient
package#Application,domain#RemoteTerminal,domain#ConsoleProcess
package#Application,domain#SensitiveData,domain#Data
package#Application,domain#SensitiveData,domain#TypeOverlayData
package#Application,domain#SMSClient,domain#InteractiveProcess
package#Application,domain#SpamData,domain#Data
package#Application,domain#TextEditor,domain#ConsoleProcess
package#Application,domain#TextEditor,domain#Editor
package#Application,domain#TextEditor,domain#ProcessPalette
package#Application,domain#WebApp,domain#InteractiveProcess
package#Application,domain#WebApp,domain#WebClient
package#Application,domain#WebBrowser,domain#InteractiveProcess
package#Application,domain#WebBrowser,domain#WebClient
package#Application,domain#WebClient,domain#GeneralProcess
package#Application,domain#WebClient,domain#ProcessPalette
package#CloudManagement,domain#APIServer,domain#ServiceProxy
package#CloudManagement,domain#ClusterIP,domain#L3Subnet
package#CloudManagement,domain#ClusterIP,domain#NetworkPalette
package#CloudManagement,domain#ClusterIP,domain#OverlaySubnet
package#CloudManagement,domain#Container,domain#DumbHost
package#CloudManagement,domain#Container,domain#HostPalette
package#CloudManagement,domain#Container,domain#ScalableHost
package#CloudManagement,domain#Container,domain#ShellHost
package#CloudManagement,domain#Container,domain#VirtualHost
package#CloudManagement,domain#Ingress,domain#ServiceProxy
package#CloudManagement,domain#Master,domain#HostPalette
package#CloudManagement,domain#Master,domain#VM
package#CloudManagement,domain#Pod,domain#DumbHost
package#CloudManagement,domain#Pod,domain#HostPalette
package#CloudManagement,domain#Pod,domain#ScalableHost
package#CloudManagement,domain#Pod,domain#SimpleHost
package#CloudManagement,domain#Pod,domain#VirtualHost
package#CloudManagement,domain#Worker,domain#HostPalette
package#CloudManagement,domain#Worker,domain#VCluster
package#Core,domain#DebugMarker,core#Asset
package#DataLifecycle,domain#DataAccess,domain#DataLifecycleAsset
package#DataLifecycle,domain#DataAsset,domain#DataLifecycleAsset
package#DataLifecycle,domain#DataCache,domain#DataAsset
package#DataLifecycle,domain#DataCache,domain#DataContainer
package#DataLifecycle,domain#DataCopy,domain#DataCache
package#DataLifecycle,domain#DataFlow,domain#DataAsset
package#DataLifecycle,domain#DataFlow,domain#DataContainer
package#DataLifecycle,domain#DataInferenceAsset,core#Asset
package#DataLifecycle,domain#DataInput,domain#DataAccess
package#DataLifecycle,domain#DataInput,domain#DataProcess
package#DataLifecycle,domain#DataOutput,domain#DataAccess
package#DataLifecycle,domain#DataOutput,domain#DataProcess
package#DataLifecycle,domain#DataProcess,domain#DataUse
package#DataLifecycle,domain#DataRelay,domain#DataAccess
package#DataLifecycle,domain#DataRelay,domain#DataUse
package#DataLifecycle,domain#DataStep,domain#DataLifecycleAsset
package#DataLifecycle,domain#DataUpdate,domain#DataInput
package#DataLifecycle,domain#DataUpdate,domain#DataOutput
