package,inPattern,hasNode,hasSetting,displayedAtNode,displayedAtLink,displayedAt
domain#000000,domain#CP-CcBrR+CSg,domain#Node-LogicalSegment-ClosedSegment,domain#INS-CcBrR+CSg-LogicalSegment,TRUE,FALSE,domain#Node-Gateway-BaseStation
package#5G,domain#CP-CcBrR+CSg,domain#Node-LogicalSegment-ClosedSegment,domain#INS-CcBrR+CSg-LogicalSegment,TRUE,FALSE,domain#Node-Gateway-BaseStation
package#5G,domain#CP-CNHS+AN,domain#Node-BaseStation-BaseStation,domain#INS-CNHS+AN-BaseStation,TRUE,FALSE,domain#Node-Space-Space
package#5G,domain#CP-CNHS+AN,domain#Node-RAN-RAN,domain#INS-CNHS+AN-RAN,TRUE,FALSE,domain#Node-Space-Space
package#5G,domain#CP-CNR+CN,domain#Node-CoreNetwork-CoreNetwork,domain#INS-CNR+CN-CoreNetwork,TRUE,FALSE,domain#Node-CellularNetwork-CellularNetwork
package#5G,domain#CP-CN-R+R,domain#Node-Router-CoreRouter,domain#INS-CN-R+R-Router,TRUE,FALSE,domain#Node-CellularNetwork-CellularNetwork
package#5G,domain#CP-CrCcL3+NSg,domain#Node-LogicalSegment-NATSegment,domain#INS-CrCcL3+NSg-LogicalSegment,TRUE,FALSE,domain#Node-Gateway-Host
package#5G,domain#CP-L3cCrC+OSg,domain#Node-LogicalSegment-OpenSegment,domain#INS-L3cCrC+OSg-LogicalSegment,TRUE,FALSE,domain#Node-Gateway-Host
package#5G,domain#CP-PCN+W,domain#Node-World-World,domain#INS-PCN+W-World,TRUE,FALSE,domain#Node-PublicCellularNetwork-PublicCellularNetwork
package#5G,domain#CP-RrBcC+NSg,domain#Node-LogicalSegment-NATSegment,domain#INS-RrBcC+NSg-LogicalSegment,TRUE,FALSE,domain#Node-Gateway-BaseStation
package#Application,domain#CP-HuiCHDtS-AC+AC,domain#Node-RemoteDesktop-RemoteDesktop,domain#INS-HuiCHDtS-AC+AC-RemoteDesktop,TRUE,FALSE,domain#Node-ConsoleHost-ConsoleHost
package#Application,domain#CP-HuiCHDtS-AC+AC,domain#Node-RemoteTerminal-RemoteTerminal,domain#INS-HuiCHDtS-AC+AC-RemoteTerminal,TRUE,FALSE,domain#Node-ConsoleHost-ConsoleHost
package#Application,domain#CP-HuRDuPH-DtS+DtS,domain#Node-DesktopService-DesktopService,domain#INS-HuRDuPH-DtS+DtS-DesktopService,TRUE,FALSE,domain#Node-Host-Host
package#Application,domain#CP-HuRTuCPH-LnS+LnS,domain#Node-LoginService-LoginService,domain#INS-HuRTuCPH-LnS+LnS-LoginService,TRUE,FALSE,domain#Node-Host-Host
package#CloudManagement,domain#CP-DCCM-A+A,domain#Node-APIServer-APIServer,domain#INS-DCCM-A+A-APIServer,TRUE,FALSE,domain#Node-DataCentre-DataCentre
package#CloudManagement,domain#CP-DCCM-P+P,domain#Node-Ingress-Ingress,domain#INS-DCCM-P+P-Ingress,TRUE,FALSE,domain#Node-DataCentre-DataCentre
package#CloudManagement,domain#CP-DCCt-Pod+Pod,domain#Node-Pod-Pod,domain#INS-DCCt-Pod+Pod-Pod,TRUE,FALSE,domain#Node-Container-Container
package#CloudManagement,domain#CP-DCMW-LS+VX,domain#Node-VirtualSubnet-VXLAN,domain#INS-DCMW-LS+VX-VirtualSubnet,TRUE,FALSE,domain#Node-DataCentre-DataCentre
package#CloudManagement,domain#CP-DCPS-Pod+Pod,domain#Node-Pod-Pod,domain#INS-DCPS-Pod+Pod-Pod,TRUE,FALSE,domain#Node-Process-Process
package#CloudManagement,domain#CP-Hum-iSH-LnS+LnS,domain#Node-LoginService-LoginService,domain#INS-Hum-iSH-LnS+LnS-LoginService,TRUE,FALSE,domain#Node-Host-ShellHost
package#CloudManagement,domain#CP-MWHLS+CIP,domain#Node-ClusterIP-ClusterIP,domain#INS-MWHLS+CIP-ClusterIP,TRUE,FALSE,domain#Node-LogicalSubnet-LogicalSubnet
