package,URI,includesNodeInURI
domain#000000,domain#000000,domain#Node-FromSubnet-CoreNetwork
package#5G,domain#INS-CcBrR+CSg-LogicalSegment,domain#Node-FromSubnet-CoreNetwork
package#5G,domain#INS-CcBrR+CSg-LogicalSegment,domain#Node-Gateway-BaseStation
package#5G,domain#INS-CcBrR+CSg-LogicalSegment,domain#Node-ToSubnet-RAN
package#5G,domain#INS-CNHS+AN-BaseStation,domain#Node-CellularNetwork-CellularNetwork
package#5G,domain#INS-CNHS+AN-BaseStation,domain#Node-Space-Space
package#5G,domain#INS-CNHS+AN-RAN,domain#Node-CellularNetwork-CellularNetwork
package#5G,domain#INS-CNHS+AN-RAN,domain#Node-Space-Space
package#5G,domain#INS-CNR+CN-CoreNetwork,domain#Node-CellularNetwork-CellularNetwork
package#5G,domain#INS-CN-R+R-Router,domain#Node-CellularNetwork-CellularNetwork
package#5G,domain#INS-CrCcL3+NSg-LogicalSegment,domain#Node-FromSubnet-CoreNetwork
package#5G,domain#INS-CrCcL3+NSg-LogicalSegment,domain#Node-Gateway-Host
package#5G,domain#INS-CrCcL3+NSg-LogicalSegment,domain#Node-ToSubnet-L3Subnet
package#5G,domain#INS-L3cCrC+OSg-LogicalSegment,domain#Node-FromSubnet-L3Subnet
package#5G,domain#INS-L3cCrC+OSg-LogicalSegment,domain#Node-Gateway-Host
package#5G,domain#INS-L3cCrC+OSg-LogicalSegment,domain#Node-ToSubnet-CoreNetwork
package#5G,domain#INS-RrBcC+NSg-LogicalSegment,domain#Node-FromSubnet-RAN
package#5G,domain#INS-RrBcC+NSg-LogicalSegment,domain#Node-Gateway-BaseStation
package#5G,domain#INS-RrBcC+NSg-LogicalSegment,domain#Node-ToSubnet-CoreNetwork
package#Application,domain#INS-HuiCHDtS-AC+AC-RemoteDesktop,domain#Node-ConsoleHost-ConsoleHost
package#Application,domain#INS-HuiCHDtS-AC+AC-RemoteDesktop,domain#Node-Human-Human
package#Application,domain#INS-HuiCHDtS-AC+AC-RemoteTerminal,domain#Node-ConsoleHost-ConsoleHost
package#Application,domain#INS-HuiCHDtS-AC+AC-RemoteTerminal,domain#Node-Human-Human
package#Application,domain#INS-RDuHP-iPL-RAS+DtS-Service,domain#Node-Host-Host
package#Application,domain#INS-RDuHP-iPL-RAS+DtS-Service,domain#Node-RemoteAccessClient-RemoteDesktop
package#Application,domain#INS-RTuHP-iPL-RAS+LnS-Service,domain#Node-Host-Host
package#Application,domain#INS-RTuHP-iPL-RAS+LnS-Service,domain#Node-RemoteAccessClient-RemoteTerminal
package#CloudManagement,domain#INS-DCCM-A+A-APIServer,domain#Node-Cluster-Cluster
package#CloudManagement,domain#INS-DCCM-P+P-Ingress,domain#Node-Cluster-Cluster
package#CloudManagement,domain#INS-DCCt-Pod+Pod-Pod,domain#Node-Container-Container
package#CloudManagement,domain#INS-DCCt-Pod+Pod-Pod,domain#Node-DataCentre-DataCentre
package#CloudManagement,domain#INS-DCMW-LS+VX-VirtualSubnet,domain#Node-DataCentre-DataCentre
package#CloudManagement,domain#INS-DCPS-Pod+Pod-Pod,domain#Node-Process-Process
package#CloudManagement,domain#INS-Hum-iSH-LnS+LnS-LoginService,domain#Node-Host-ShellHost
package#CloudManagement,domain#INS-MWHLS+CIP-ClusterIP,domain#Node-Host-Host
package#CloudManagement,domain#INS-PodDCC-M+M-CloudMaster,domain#Node-Cluster-Cluster
package#CloudManagement,domain#INS-PodDCMC-W-H+W-CloudWorker,domain#Node-Cluster-Cluster
package#CloudManagement,domain#INS-PodP-Cn+Cn-Container,domain#Node-Process-Process
package#CloudManagement,domain#INS-VH-LnS+LnS-LoginService,domain#Node-VirtualHost-VirtualHost
package#DataLifecycleInference,domain#INS-DDDCDP2oDS+DC-NewDataChannel,domain#Node-OldDataChannel-DataChannel
package#DataLifecycleInference,domain#INS-DDDCDP2oDS+DC-NewDataChannel,domain#Node-Service-Process
package#DataLifecycleInference,domain#INS-DDDCDS2P+DF-DataFlow,domain#Node-Data-Data
package#DataLifecycleInference,domain#INS-DDDCDS2P+DF-DataFlow,domain#Node-FlowsFrom-Process
package#DataLifecycleInference,domain#INS-DDDCDS2P+DF-DataFlow,domain#Node-FlowsTo-Process
package#DataLifecycleInference,domain#INS-DDDPS-DC+DC-DataChannel,domain#Node-Data-Data
package#DataLifecycleInference,domain#INS-DDDPS-DC+DC-DataChannel,domain#Node-Process-Process
package#DataLifecycleInference,domain#INS-DDDPS-DC+DC-DataChannel,domain#Node-Service-Process
package#DataLifecycleInference,domain#INS-DSDCDD2P+DF-DataFlow,domain#Node-Data-Data
package#DataLifecycleInference,domain#INS-DSDCDD2P+DF-DataFlow,domain#Node-FlowsFrom-Process
package#DataLifecycleInference,domain#INS-DSDCDD2P+DF-DataFlow,domain#Node-FlowsTo-Process
package#DataLifecycleInference,domain#INS-DSDCDP2oDD+DC-NewDataChannel,domain#Node-OldDataChannel-DataChannel
package#DataLifecycleInference,domain#INS-DSDCDP2oDD+DC-NewDataChannel,domain#Node-Service-Process
package#DataLifecycleInference,domain#INS-DSDPS+DC-DataChannel,domain#Node-Data-Data
package#DataLifecycleInference,domain#INS-DSDPS+DC-DataChannel,domain#Node-Process-Process
package#DataLifecycleInference,domain#INS-DSDPS+DC-DataChannel,domain#Node-Service-Process
