package,URI,metaLocatedAt,hasMisbehaviour,hasLevel
domain#000000,domain#000000,domain#PrivateCellularNetwork,domain#CommsSnoopable,domain#ImpactLevelNegligible
package#5G,domain#MADS-CommsSnoopable-PrivateCellularNetwork,domain#PrivateCellularNetwork,domain#CommsSnoopable,domain#ImpactLevelNegligible
package#5G,domain#MADS-CommsSnoopable-PublicCellularNetwork,domain#PublicCellularNetwork,domain#CommsSnoopable,domain#ImpactLevelNegligible
package#5G,domain#MADS-CommsSnoopable-RAN,domain#RAN,domain#CommsSnoopable,domain#ImpactLevelNegligible
package#5G,domain#MADS-InService-BaseStation,domain#BaseStation,domain#InService,domain#ImpactLevelNegligible
package#5G,domain#MADS-InService-PrivateCellularNetwork,domain#PrivateCellularNetwork,domain#InService,domain#ImpactLevelNegligible
package#5G,domain#MADS-InService-PublicCellularNetwork,domain#PublicCellularNetwork,domain#InService,domain#ImpactLevelNegligible
package#5G,domain#MADS-InService-RAN,domain#RAN,domain#InService,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfAvailability-BaseStation,domain#BaseStation,domain#LossOfAvailability,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfAvailability-PrivateCellularNetwork,domain#PrivateCellularNetwork,domain#LossOfAvailability,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfAvailability-PublicCellularNetwork,domain#PublicCellularNetwork,domain#LossOfAvailability,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfAvailability-RAN,domain#RAN,domain#LossOfAvailability,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfControl-BaseStation,domain#BaseStation,domain#LossOfControl,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfDefaultTW-BaseStation,domain#BaseStation,domain#LossOfDefaultTW,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfDefaultTW-RAN,domain#RAN,domain#LossOfDefaultTW,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfExploitTW-BaseStation,domain#BaseStation,domain#LossOfExploitTW,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfExternalControl-BaseStation,domain#BaseStation,domain#LossOfExternalControl,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfExternalUserTW-BaseStation,domain#BaseStation,domain#LossOfExternalUserTW,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfExtrinsicTW-BaseStation,domain#BaseStation,domain#LossOfExtrinsicTW,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfIntrinsicTW-BaseStation,domain#BaseStation,domain#LossOfIntrinsicTW,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfNetworkControl-PrivateCellularNetwork,domain#PrivateCellularNetwork,domain#LossOfNetworkControl,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfNetworkControl-PublicCellularNetwork,domain#PublicCellularNetwork,domain#LossOfNetworkControl,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfNetworkControl-RAN,domain#RAN,domain#LossOfNetworkControl,domain#ImpactLevelNegligible
package#5G,domain#MADS-LossOfNetworkUserTW-PrivateCellularNetwork,domain#PrivateCellularNetwork,domain#LossOfNetworkUserTW,domain#ImpactLevelNegligible
