package,URI,label,comment,hasRootPattern,usesLoopback,usesParallel
domain#000000,domain#000000,BSCNSRAN-p,12345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678,domain#R-BSCNSRAN,FALSE,FALSE
package#5G,domain#MP-BSCNSRAN-p,BSCNSRAN-p,"Finds a backbone network implementing a cellular network accessible from a space in which it has a radio access network not provided by any host, and there is a base station in the same space that is connected to the cellular newtork, or hosts a virtual base station that is connected to the cellular network.",domain#R-BSCNSRAN,FALSE,FALSE
package#5G,domain#MP-CNCN,CNCN,Finds a Cellular Network implemented by a Core Network.,domain#R-CNCN,FALSE,FALSE
package#5G,domain#MP-CNCNBSS,CNCNBSS,Finds a cellular network with a backbone network to which is connected a base station (or a virtual host running on the base station) in a space.,domain#R-CNCNBSS,FALSE,FALSE
package#5G,domain#MP-CNHS+RAN,CNHS+RAN,Finds a backbone network implementing a cellular network accessible from a space in which there is a RAN and a device connected to the cellular network that does not provide any of the networks.,domain#R-CNHS+RAN,FALSE,TRUE
package#5G,domain#MP-CN-R,CN-R,Finds a Cellular Network that is not provided by any host.,domain#R-CN,FALSE,FALSE
package#5G,domain#MP-CNRAN2dS,CNRAN2dS,"Finds a radio access network implementing part of a cellular network, provided by a host serving as the base station and having (at least) two distinct locations.",domain#R-CNRAN2S,FALSE,FALSE
package#5G,domain#MP-CNRANBSS,CNRANBSS,Finds a cellular network implemented by a radio access network provided by a base station (or virtual host running on the base station) which is located in a space.,domain#R-CNRANBSS,FALSE,FALSE
package#5G,domain#MP-CNRANS,CNRANS,"Finds a radio access network accessible in a space, and the cellular network it belongs to.",domain#R-CNRANS,FALSE,FALSE
package#5G,domain#MP-CNR-CN,CNR-CN,Finds a cellular network provided by a router that has no backbone IP network.,domain#R-CNR,FALSE,FALSE
package#5G,domain#MP-CNRS,CNRS,Finds a cellular network provided by a gateway host which therefore also provides the backbone network.,domain#R-CNRS,FALSE,FALSE
package#5G,domain#MP-CNS+RAN+BS-S,CNS+RAN+BS-S,Finds a backbone network implementing a cellular network accessible from a space in which it has a radio access network provided by a gateway running on a base station with no physical location.,domain#R-CNS+RAN+BS,FALSE,FALSE
package#5G,domain#MP-CNSBSRAN-p,CNSBSRAN-p,"Finds a backbone network implementing a cellular network accessible from a space in which it has a radio access network not provided by any host, and there is a base station in the same space that is connected to the cellular newtork backbone, or hosts a virtual base station that is connected to the cellular network backbone.",domain#R-CNSBSRAN,FALSE,FALSE
package#5G,domain#MP-CNS-RAN,CNS-RAN,"Finds a backbone network implementing a cellular network accessible from a space, but lacking a radio access network in that space.",domain#R-CNS,FALSE,FALSE
package#5G,domain#MP-CrCcL3,CrCcL3,"Finds a gateway host providing a backbone network for a cellular network, connected to an IP subnet that is not part of the cellular network.",domain#R-CrCcL3,FALSE,FALSE
package#5G,domain#MP-CScGcCS,CScGcCS,"Finds a Physical Host connected between two distinct Cellular networks, both in the same space.",domain#R-CScGcCS,FALSE,FALSE
package#5G,domain#MP-FCNS,FCNS,Finds a Cellular Network to which is connected a Fixed Host (or a Virtual Host running on it) located in a Space.,domain#R-FCNS,FALSE,FALSE
package#5G,domain#MP-L3cCrPC,L3cCrPC,Finds a host acting as a router providing the backbone network of a private cellular network and connected to an external IP subnet that is not a hotspot and not part of the same cellular network.,domain#R-L3cCrPC,FALSE,FALSE
package#5G,domain#MP-L3cCrUC,L3cCrUC,Finds a host acting as a router providing the backbone network of a public cellular network and connected to an external IP subnet that is not a hotspot and not part of the same cellular network.,domain#R-L3cCrUC,FALSE,FALSE
package#5G,domain#MP-L3cGc-rR,L3cGc-rR,"Finds a host connected to but not providing a RAN in a cellular network, and connected to an L2 or L3 Subnet accessible in the same Space that is not part of the cellular network.",domain#R-L3cGcR,FALSE,TRUE
package#5G,domain#MP-L3c-rBrPR,L3c-rBrPR,"Finds a host acting as a base station providing a RAN in a private cellular network, and connected to an L2 or L3 Subnet accessible in the same Space, which is not provided by the base station, nor acting as part of the cellular network.",domain#R-L3cBrPR,FALSE,TRUE
package#5G,domain#MP-L3c-rBrUR,L3c-rBrUR,"Finds a host acting as a base station providing a RAN in a public cellular network, and connected to an L2 or L3 Subnet accessible in the same Space, which is not provided by the base station, nor acting as part of the cellular network.",domain#R-L3cBrUR,FALSE,TRUE
package#5G,domain#MP-L3rBrPR,L3rBrPR,"Finds a host acting as a base station providing a RAN in a private cellular network, and also providing an L2 or L3 Subnet that is not part of the cellular network.",domain#R-L3rBrPR,FALSE,FALSE
package#5G,domain#MP-L3rBrR,L3rBrR,"Finds a host acting as a base station providing a RAN in a cellular network, and also providing a backbone network in the same cellular network.",domain#R-L3rBrR,FALSE,FALSE
package#5G,domain#MP-L3rBrUR,L3rBrUR,"Finds a host acting as a base station providing a RAN in a public cellular network, and also providing an L2 or L3 Subnet that is not part of the cellular network.",domain#R-L3rBrUR,FALSE,FALSE
package#5G,domain#MP-MPCNS,MPCNS,Finds a Public Cellular Network to which is connected a Mobile Host (or a Virtual Host running on it) located in a Space.,domain#R-MPCNS,FALSE,FALSE
package#5G,domain#MP-PcCNLS-S,PcCNLS-S,"Finds a process controlling a cellular network, and a logical subnet that implements part of the cellular network, where this logical subnet has no controlling service.",domain#R-PcCNLS,FALSE,FALSE
package#5G,domain#MP-PCc-rBrPR,PCc-rBrPR,"Finds a host acting as a base station providing a RAN and connected to an backbone network, both of which are part of a private cellular network.",domain#R-PCcBrPR,FALSE,TRUE
package#5G,domain#MP-PCN,PCN,Finds a Public Cellular Network.,domain#R-PCN,FALSE,FALSE
package#5G,domain#MP-PCN-R,PCN-R,Finds a public cellular network that is not provided by any host.,domain#R-PCN,FALSE,FALSE
package#5G,domain#MP-PCNRSI,PCNRSI,Finds a Public Cellular Network provided by a Gateway Host which is physically located in a Space and also connected to the Internet.,domain#R-PCNRSI,FALSE,FALSE
package#5G,domain#MP-PCNRWI,PCNRWI,"Finds router providing a Public Cellular Network accessible from the World, along with the Internet which should also be accessible from the World.",domain#R-PCNRWI,FALSE,FALSE
package#5G,domain#MP-PCNSRAN-p,PCNSRAN-p,Finds a backbone network implementing a private cellular network accessible from a space in which it has a radio access network not provided by any host.,domain#R-PCNSRAN,FALSE,FALSE
package#5G,domain#MP-PRrBc-rL3,PRrBc-rL3,"Finds a host acting as a base station providing a RAN in a private cellular network, and connected to an L2 or L3 Subnet accessible in the same Space, which is not provided by the base station, nor acting as part of the cellular network.",domain#R-PRrBcL3,FALSE,TRUE
package#5G,domain#MP-PRrBrPR,PRrBrPR,"Finds a host acting as a base station providing two RANs, both of which are part of the same private cellular network.",domain#R-PRrBrPR,FALSE,FALSE
package#5G,domain#MP-RAN,RAN,Finds a solo cellular Radio Access Network.,domain#R-RAN,FALSE,FALSE
package#5G,domain#MP-Rc-rGcL3,Rc-rGcL3,"Finds a host connected to but not providing a RAN in a cellular network, and connected to an L2 or L3 Subnet accessible in the same Space that is not part of the cellular network.",domain#R-RcGcL3,FALSE,TRUE
