package,hasDistinctNodeGroup,URI,label
domain#000000,domain#DNG-CNRAN2dS-0,domain#000000,0
package#5G,domain#DNG-CNRAN2dS-0,domain#MP-CNRAN2dS,0
package#5G,domain#DNG-CScGcCS-0,domain#MP-CScGcCS,0
package#5G,domain#DNG-CrCcL3-0,domain#MP-CrCcL3,0
package#5G,domain#DNG-L3c-rBrPR-0,domain#MP-L3c-rBrPR,0
package#5G,domain#DNG-L3c-rBrUR-0,domain#MP-L3c-rBrUR,0
package#5G,domain#DNG-L3cCrPC-0,domain#MP-L3cCrPC,0
package#5G,domain#DNG-L3cCrUC-0,domain#MP-L3cCrUC,0
package#5G,domain#DNG-L3cGc-rR-0,domain#MP-L3cGc-rR,0
package#5G,domain#DNG-L3rBrUR-0,domain#MP-L3rBrUR,0
package#5G,domain#DNG-PCc-rBrPR-0,domain#MP-PCc-rBrPR,0
package#5G,domain#DNG-PRrBc-rL3-0,domain#MP-PRrBc-rL3,0
package#5G,domain#DNG-PRrBrPR-0,domain#MP-PRrBrPR,0
package#5G,domain#DNG-RANaf2dS-0,domain#MP-RANaf2dS,0
package#5G,domain#DNG-Rc-rGcL3-0,domain#MP-Rc-rGcL3,0
package#5G,domain#DNG-RrBc-rC-0,domain#MP-RrBc-rC,0
package#5G,domain#DNG-RrBrL3-0,domain#MP-RrBrL3,0
package#5G,domain#DNG-UCc-rBrUR-0,domain#MP-UCc-rBrUR,0
package#5G,domain#DNG-URrBc-rL3-0,domain#MP-URrBc-rL3,0
package#5G,domain#DNG-URrBrUR-0,domain#MP-URrBrUR,0
package#DataLifecycle,domain#DNG-CSDF-VdDA2-0,domain#MP-CSDF-VdDA2,0
package#DataLifecycle,domain#DNG-HDSPDIfdDA-DP-f-0,domain#MP-HDSPDIfdDA-DP-f,0
package#DataLifecycle,domain#DNG-HPDADS2dDO-0,domain#MP-HPDADS2dDO,0
package#DataLifecycle,domain#DNG-HSDADPPDXP-Hu-DP-0,domain#MP-HSDADPPDXP-Hu-DP,0
package#DataLifecycle,domain#DNG-PcPr-uDS-V-0,domain#MP-PcPr-uDS-V,0
package#DataLifecycle,domain#DNG-PcPuDS-V-0,domain#MP-PcPuDS-V,0
package#DataLifecycle,domain#DNG-SDADPPDXP-Hu-DP-0,domain#MP-SDADPPDXP-Hu-DP,0
package#DataLifecycle,domain#DNG-SDADPPDXPRAC-DP-0,domain#MP-SDADPPDXPRAC-DP,0
package#DataLifecycle,domain#DNG-SDADPPDXRAC-DP-0,domain#MP-SDADPPDXRAC-DP,0
package#GDPR,domain#DNG-NDFHuoO-0,domain#MP-NDFHuoO,0
package#Legal,domain#DNG-DFHuoO-0,domain#MP-DFHuoO,0
package#Legal,domain#DNG-DSHuoO-0,domain#MP-DSHuoO,0
package#LocalDeviceConnectivity,domain#DNG-BPcGcBP-0,domain#MP-BPcGcBP,0
package#LocalDeviceConnectivity,domain#DNG-BPcGcBP-1,domain#MP-BPcGcBP,1
package#LocalDeviceConnectivity,domain#DNG-BPcGcBP-2,domain#MP-BPcGcBP,2
package#LocalDeviceConnectivity,domain#DNG-HBISG-0,domain#MP-HBISG,0
package#LocalDeviceConnectivity,domain#DNG-HBImSG-0,domain#MP-HBImSG,0
package#LocalDeviceConnectivity,domain#DNG-HL1H-0,domain#MP-HL1H,0
package#LocalDeviceConnectivity,domain#DNG-HL1HS-0,domain#MP-HL1HS,0
package#LocalDeviceConnectivity,domain#DNG-HUISG-0,domain#MP-HUISG,0
package#LocalDeviceConnectivity,domain#DNG-L1SSg2-0,domain#MP-L1SSg2,0
package#LocalDeviceConnectivity,domain#DNG-L1SSg2-1,domain#MP-L1SSg2,1
package#LocalDeviceConnectivity,domain#DNG-L1SSg2AC-0,domain#MP-L1SSg2AC,0
package#LocalDeviceConnectivity,domain#DNG-L1SSg2AC-1,domain#MP-L1SSg2AC,1
package#LocalDeviceConnectivity,domain#DNG-L1cGcL3-0,domain#MP-L1cGcL3,0
package#LocalDeviceConnectivity,domain#DNG-L3cGcL1-0,domain#MP-L3cGcL1,0
package#LocalDeviceConnectivity,domain#DNG-LTethSg2-0,domain#MP-LTethSg2,0
package#LocalDeviceConnectivity,domain#DNG-LTethSg2AC-0,domain#MP-LTethSg2AC,0
package#LocalDeviceConnectivity,domain#DNG-UHDSrP-0,domain#MP-UHDSrP,0
package#LocalDeviceConnectivity,domain#DNG-UHDSrP-1,domain#MP-UHDSrP,1
package#LocalDeviceConnectivity,domain#DNG-UPc-rGrUP-0,domain#MP-UPc-rGrUP,0
package#LocalDeviceConnectivity,domain#DNG-UPc-rGrUP-1,domain#MP-UPc-rGrUP,1
package#LocalDeviceConnectivity,domain#DNG-UPc-rGrUP-2,domain#MP-UPc-rGrUP,2
package#LocalDeviceConnectivity,domain#DNG-UPrGc-rUP-0,domain#MP-UPrGc-rUP,0
package#LocalDeviceConnectivity,domain#DNG-UPrGc-rUP-1,domain#MP-UPrGc-rUP,1
package#LocalDeviceConnectivity,domain#DNG-UPrGc-rUP-2,domain#MP-UPrGc-rUP,2
package#Network,domain#DNG-HHu2d-0,domain#MP-HHu2d,0
package#Network,domain#DNG-Hm2dHu-0,domain#MP-Hm2dHu,0
package#Network,domain#DNG-Hui2H-0,domain#MP-Hui2H,0
package#Network,domain#DNG-PH2-0,domain#MP-PH2,0
package#Network,domain#DNG-PH2dS-0,domain#MP-PH2dS,0
package#Network,domain#DNG-PHdH-0,domain#MP-PHdH,0
package#NetworkConnectivity,domain#DNG-GdHRS-0,domain#MP-GdHRS,0
package#NetworkConnectivity,domain#DNG-GdHRS-1,domain#MP-GdHRS,1
package#NetworkConnectivity,domain#DNG-GdHRSi-0,domain#MP-GdHRSi,0
package#NetworkConnectivity,domain#DNG-GdHWS-0,domain#MP-GdHWS,0
package#NetworkConnectivity,domain#DNG-HLoH-0,domain#MP-HLoH,0
package#NetworkConnectivity,domain#DNG-HRoH-0,domain#MP-HRoH,0
package#NetworkConnectivity,domain#DNG-L3SSg2AC-0,domain#MP-L3SSg2AC,0
package#NetworkConnectivity,domain#DNG-L3c-rGc-rL3-0,domain#MP-L3c-rGc-rL3,0
package#NetworkConnectivity,domain#DNG-L3c-rGrL3-0,domain#MP-L3c-rGrL3,0
package#NetworkConnectivity,domain#DNG-L3rGc-rL3-0,domain#MP-L3rGc-rL3,0
package#NetworkConnectivity,domain#DNG-L3rGrL3-0,domain#MP-L3rGrL3,0
package#NetworkConnectivity,domain#DNG-RScGcRS-0,domain#MP-RScGcRS,0
package#NetworkConnectivity,domain#DNG-WScMcWS-0,domain#MP-WScMcWS,0
package#Physical,domain#DNG-PSS-0,domain#MP-PSS,0
package#ProcessComms,domain#DNG-CSL1H2-0,domain#MP-CSL1H2,0
package#ProcessComms,domain#DNG-CSLS2H2-SC-0,domain#MP-CSLS2H2-SC,0
package#ProcessComms,domain#DNG-CSLS2H2-SC-1,domain#MP-CSLS2H2-SC,1
package#ProcessComms,domain#DNG-CSLSH2-SC-0,domain#MP-CSLSH2-SC,0
package#ProcessComms,domain#DNG-CuPiS-i-0,domain#MP-CuPiS-i,0
package#ProcessComms,domain#DNG-CuPuS-i-0,domain#MP-CuPuS-i,0
package#ProcessComms,domain#DNG-CuSPvS-U-0,domain#MP-CuSPvS-U,0
package#ProcessComms,domain#DNG-CuScS-0,domain#MP-CuScS,0
package#ProcessComms,domain#DNG-PccCuS-0,domain#MP-PccCuS,0
package#ProcessComms,domain#DNG-SPuS-0,domain#MP-SPuS,0
package#ProcessComms,domain#DNG-SPvSPvS-U-0,domain#MP-SPvSPvS-U,0
package#ProcessTrust,domain#DNG-CCCSPSFCS-0,domain#MP-CCCSPSFCS,0
package#ProcessTrust,domain#DNG-CCCSPSFSC-0,domain#MP-CCCSPSFSC,0
package#ProcessTrust,domain#DNG-CSCC-SC-0,domain#MP-CSCC-SC,0
package#ProcessTrust,domain#DNG-CuPnS-U-0,domain#MP-CuPnS-U,0
package#ProcessTrust,domain#DNG-H-sDFCFdS-ACau-0,domain#MP-H-sDFCFdS-ACau,0
package#ProcessTrust,domain#DNG-H-sDFSFdC-0,domain#MP-H-sDFSFdC,0
package#ProcessTrust,domain#DNG-H-sDFrSACdDFiaS-0,domain#MP-H-sDFrSACdDFiaS,0
package#ProcessTrust,domain#DNG-H-sDFuCudDFdS-ACau-0,domain#MP-H-sDFuCudDFdS-ACau,0
package#ProcessTrust,domain#DNG-H-sDFuCudDFdS-ACau-1,domain#MP-H-sDFuCudDFdS-ACau,1
package#ProcessTrust,domain#DNG-H-sDFuSdC-0,domain#MP-H-sDFuSdC,0
package#ProcessTrust,domain#DNG-PnPnS-U-0,domain#MP-PnPnS-U,0
package#Virtualisation,domain#DNG-GdHVS-0,domain#MP-GdHVS,0
package#Virtualisation,domain#DNG-H2dPH2-0,domain#MP-H2dPH2,0
package#Virtualisation,domain#DNG-HVHS-0,domain#MP-HVHS,0
package#Virtualisation,domain#DNG-VHH3-0,domain#MP-VHH3,0
package#Virtualisation,domain#DNG-VSVC4H-PP-0,domain#MP-VSVC4H-PP,0
