package,URI,metaLocatedAt
domain#000000,domain#000000,domain#AccessAsset
package#AccessContext,domain#LocalLossOfUserTW,domain#AccessAsset
package#AccessContext,domain#LossOfAvailability,domain#Accessible
package#AccessContext,domain#LossOfExploitTW,domain#AccessAsset
package#AccessContext,domain#LossOfReliability,domain#Accessible
package#Application,domain#LossOfAuthenticity,domain#Data
package#Application,domain#LossOfAvailability,domain#Data
package#Application,domain#LossOfConfidentiality,domain#Data
package#Application,domain#LossOfDefaultTW,domain#Data
package#Application,domain#LossOfIntegrity,domain#Data
package#Application,domain#LossOfTimeliness,domain#Data
package#Application,domain#LossOfTimeliness,domain#Human
package#Application,domain#LossOfTimeliness,domain#Process
package#Application,domain#MalwareInfection,domain#Accessible
package#Application,domain#MalwareInfection,domain#Data
package#DataLifecycle,domain#InService,domain#DataAsset
package#DataLifecycle,domain#InService,domain#DataStep
package#DataLifecycle,domain#LossOfAuthenticity,domain#DataAsset
package#DataLifecycle,domain#LossOfAvailability,domain#DataAsset
package#DataLifecycle,domain#LossOfConfidentiality,domain#DataAsset
package#DataLifecycle,domain#LossOfIntegrity,domain#DataAsset
package#DataLifecycle,domain#LossOfTimeliness,domain#DataAsset
package#DataLifecycle,domain#MalwareInfection,domain#DataAsset
package#DataLifecycle,domain#NotDecrypted,domain#DataAsset
package#DataLifecycle,domain#NotEncrypted,domain#DataAsset
package#DataLifecycle,domain#Overloaded,domain#DataStep
package#DataStructure,domain#LossOfAuthenticity,domain#DataField
package#DataStructure,domain#LossOfAvailability,domain#DataField
package#DataStructure,domain#LossOfConfidentiality,domain#DataField
package#DataStructure,domain#LossOfIntegrity,domain#DataField
package#DataStructure,domain#LossOfTimeliness,domain#DataField
package#IoT,domain#LossOfAuthenticity,domain#Sensor
package#IoT,domain#LossOfConfidentiality,domain#Thing
package#IoT,domain#LossOfIntegrity,domain#Sensor
package#IoT,domain#LossOfTimeliness,domain#Sensor
package#IoT,domain#PhysicalShutdown,domain#Controller
package#Network,domain#InService,domain#NetworkAsset
package#Network,domain#LocalLossOfControl,domain#AccessContext
package#Network,domain#LocalLossOfControl,domain#Host
package#Network,domain#LossOfAvailability,domain#AbstractSubnet
package#Network,domain#LossOfAvailability,domain#DataCentre
package#Network,domain#LossOfCapacity,domain#DataCentre
package#Network,domain#LossOfControl,domain#Host
package#Network,domain#LossOfDefaultTW,domain#Accessible
package#Network,domain#LossOfDefaultTW,domain#LogicalSubnet
package#Network,domain#LossOfExtrinsicTW,domain#Accessible
package#Network,domain#LossOfIntrinsicTW,domain#Accessible
package#Network,domain#LossOfNetworkControl,domain#AbstractSubnet
package#Network,domain#LossOfNetworkUserTW,domain#AbstractSubnet
package#Network,domain#LossOfResourceTW,domain#DataCentre
package#Network,domain#LossOfResourceTW,domain#Host
package#Network,domain#LossOfUserTW,domain#Accessible
package#Network,domain#NetworkAccess,domain#LogicalSubnet
package#Network,domain#Overloaded,domain#Accessible
package#Network,domain#Overloaded,domain#LogicalSubnet
package#Network,domain#TotalLoad,domain#DataCentre
package#Network,domain#TrojanInsertion,domain#Accessible
package#Network,domain#VulnerabilityDiscovered,domain#Accessible
package#NetworkConnectivity,domain#BandwidthUnmanaged,domain#Interface
package#NetworkConnectivity,domain#CommsSnoopable,domain#AbstractSubnet
package#NetworkConnectivity,domain#ConnectionsAllowed,domain#CommsAsset
package#NetworkConnectivity,domain#LossOfAvailability,domain#CommsAsset
package#NetworkConnectivity,domain#NetworkSpoofing,domain#Interface
package#NetworkConnectivity,domain#Overloaded,domain#Interface
package#Physical,domain#PhysicalBreach,domain#PrivateSpace
package#Physical,domain#PhysicalIntrusion,domain#Space
package#ProcessComms,domain#CommsSnoopable,domain#ConnectionChannel
package#ProcessComms,domain#InService,domain#ConnectionAsset
package#ProcessComms,domain#LossOfConnectivity,domain#ServiceChannel
package#ProcessComms,domain#ServiceChannelsAllowed,domain#Interface
package#ProcessComms,domain#ServiceChannelsAllowed,domain#LogicalSegment
package#ProcessTrust,domain#ClientImpersonation,domain#AuthChannel
package#ProcessTrust,domain#DeputyConfusion,domain#ClientChannel
package#ProcessTrust,domain#LossOfAccessibility,domain#AuthChannel
package#ProcessTrust,domain#LossOfAnonUserTW,domain#ClientChannel
package#ProcessTrust,domain#LossOfClientTW,domain#AuthChannel
package#ProcessTrust,domain#LossOfProxyUserTW,domain#ClientChannel
package#ProcessTrust,domain#LossOfServiceTW,domain#AuthChannel
package#ProcessTrust,domain#ServiceImpersonation,domain#AuthChannel
package#Theft,domain#Theft,domain#PhysicalHost
package#Theft,domain#TheftOfControl,domain#AccessContext
package#Theft,domain#TheftOfControl,domain#Host
package#Theft,domain#TheftOfControl,domain#Process
package#Users,domain#LossOfAstuteness,domain#Human
package#Users,domain#LossOfAvailability,domain#Human
package#Users,domain#LossOfBenevolence,domain#Stakeholder
package#Users,domain#LossOfCompetence,domain#Human
package#Users,domain#LossOfReliability,domain#Human
package#Users,domain#LossOfTrust,domain#Human
package#Virtualisation,domain#CommsSnoopable,domain#HostChannel
package#Virtualisation,domain#LossOfAvailability,domain#CommsChannel
package#Virtualisation,domain#LossOfConnectivity,domain#HostChannel
package#Virtualisation,domain#LossOfConnectivity,domain#VirtualChannel
package#VulnerabilityCVSS,domain#LossOfExtrinsic-A-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-A-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-AU-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-AU-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-C-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-C-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-I-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-I-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-M-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-M-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-QI-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-U-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-U-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-VA-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-VA-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-VL-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-VL-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-VN-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-VN-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-W-TW,domain#Host
package#VulnerabilityCVSS,domain#LossOfExtrinsic-W-TW,domain#Process
package#VulnerabilityCVSS,domain#LossOfExtrinsic-XS-TW,domain#Process
