package,URI,domain
domain#000000,domain#000000,domain#AccessContext
package#AccessContext,domain#accessFrom,domain#AccessContext
package#Application,domain#amends,domain#Process
package#Application,domain#amendsData,domain#Human
package#Application,domain#appends,domain#Process
package#Application,domain#creates,domain#Process
package#Application,domain#enablesUserAccess,domain#Process
package#Application,domain#enablesUserInput,domain#Process
package#Application,domain#enablesUserOutput,domain#Process
package#Application,domain#enablesUserUpdate,domain#Process
package#Application,domain#handles,domain#Process
package#Application,domain#inputsData,domain#Human
package#Application,domain#interactsWithData,domain#Human
package#Application,domain#isSpam,domain#Data
package#Application,domain#noDU,domain#Process
package#Application,domain#processes,domain#Process
package#Application,domain#processesRemotely,domain#Process
package#Application,domain#reads,domain#Process
package#Application,domain#receives,domain#Process
package#Application,domain#relays,domain#Process
package#Application,domain#serves,domain#Process
package#Application,domain#stores,domain#Host
package#Application,domain#updates,domain#Process
package#Application,domain#viewsData,domain#Human
package#CloudManagement,domain#contains,domain#Pod
package#CloudManagement,domain#isContainer,domain#Host
package#CloudManagement,domain#isPod,domain#Host
package#DataLifecycle,domain#canGetKeys,domain#DataAccess
package#DataLifecycle,domain#canRead,domain#DataUse
package#DataLifecycle,domain#canWrite,domain#DataUse
package#DataLifecycle,domain#copyOf,domain#DataAsset
package#DataLifecycle,domain#crudc,domain#Process
package#DataLifecycle,domain#crudd,domain#Process
package#DataLifecycle,domain#crudr,domain#Process
package#DataLifecycle,domain#crudu,domain#Process
package#DataLifecycle,domain#enablesAccess,domain#Process
package#DataLifecycle,domain#flows,domain#DataFlow
package#DataLifecycle,domain#flows,domain#DataStep
package#DataLifecycle,domain#flowsFrom,domain#DataFlow
package#DataLifecycle,domain#flowsFrom,domain#DataStep
package#DataLifecycle,domain#flowsFromIn,domain#DataFlow
package#DataLifecycle,domain#flowsTo,domain#DataFlow
package#DataLifecycle,domain#flowsTo,domain#DataStep
package#DataLifecycle,domain#flowsToIn,domain#DataFlow
package#DataLifecycle,domain#flowsVia,domain#DataFlow
package#DataLifecycle,domain#fromSource,domain#DataAccess
package#DataLifecycle,domain#fulfils,domain#DataAccess
package#DataLifecycle,domain#fulfils,domain#DataAsset
package#DataLifecycle,domain#fulfils,domain#Process
package#DataLifecycle,domain#includesField,domain#DataAsset
package#DataLifecycle,domain#noDX,domain#Process
package#DataLifecycle,domain#storesCopy,domain#Host
package#DataLifecycle,domain#usedBy,domain#DataAccess
package#DataLifecycle,domain#usedFor,domain#DataAccess
package#DataLifecycleInference,domain#atHost,domain#DataPool
package#DataLifecycleInference,domain#channelTried,domain#DataChannel
package#DataLifecycleInference,domain#connectedIn,domain#DataExchange
package#DataLifecycleInference,domain#connectsData,domain#DataExchange
package#DataLifecycleInference,domain#dataChannelEnd,domain#DataChannel
package#DataLifecycleInference,domain#dataChannelFor,domain#DataChannel
package#DataLifecycleInference,domain#dataChannelFrom,domain#DataChannel
package#DataLifecycleInference,domain#dataChannelTo,domain#DataChannel
package#DataLifecycleInference,domain#dataPathFor,domain#DataPath
package#DataLifecycleInference,domain#dataPathTo,domain#DataPath
package#DataLifecycleInference,domain#dataPathVisits,domain#DataPath
package#DataLifecycleInference,domain#extendsDC,domain#DataChannel
package#DataLifecycleInference,domain#extendsDP,domain#DataPath
package#DataLifecycleInference,domain#extendsFwdFlow,domain#DataChannel
package#DataLifecycleInference,domain#extendsRevFlow,domain#DataChannel
package#DataLifecycleInference,domain#flowsFromDP,domain#DataFlow
package#DataLifecycleInference,domain#flowsToDP,domain#DataFlow
package#DataLifecycleInference,domain#flowsViaProcess,domain#DataFlow
package#DataLifecycleInference,domain#fromProc,domain#DataChannel
package#DataLifecycleInference,domain#fromProc,domain#DataPath
package#DataLifecycleInference,domain#fwdPath,domain#DataAccess
package#DataLifecycleInference,domain#fwdRelay,domain#DataAccess
package#DataLifecycleInference,domain#isDest,domain#DataAccess
package#DataLifecycleInference,domain#isPool,domain#DataAccess
package#DataLifecycleInference,domain#isSource,domain#DataAccess
package#DataLifecycleInference,domain#needsField,domain#DataAsset
