package,URI,subPropertyOf
domain#000000,domain#000000,domain#implements
package#5G,domain#implementsCN,domain#implements
package#5G,domain#implementsCN,domain#implementsAN
package#AccessContext,domain#interactsWith,domain#interactsRemotelyWith
package#Application,domain#amends,domain#creates
package#Application,domain#amends,domain#receives
package#Application,domain#amendsData,domain#inputsData
package#Application,domain#amendsData,domain#viewsData
package#Application,domain#appends,domain#creates
package#Application,domain#assertedAmendsData,domain#interactsWithData
package#Application,domain#assertedInputsData,domain#interactsWithData
package#Application,domain#assertedViewsData,domain#interactsWithData
package#Application,domain#configuredBy,domain#reads
package#Application,domain#creates,domain#processes
package#Application,domain#enablesUserInput,domain#enablesUserAccess
package#Application,domain#enablesUserOutput,domain#enablesUserAccess
package#Application,domain#enablesUserUpdate,domain#enablesUserInput
package#Application,domain#enablesUserUpdate,domain#enablesUserOutput
package#Application,domain#inputsData,domain#interactsWithData
package#Application,domain#processes,domain#handles
package#Application,domain#reads,domain#receives
package#Application,domain#receives,domain#processes
package#Application,domain#serves,domain#handles
package#Application,domain#updates,domain#amends
package#Application,domain#updates,domain#reads
package#Application,domain#viewsData,domain#interactsWithData
package#CloudManagement,domain#isContainer,domain#isStateless
package#DataLifecycle,domain#crudc,domain#crudd
package#DataLifecycle,domain#crudu,domain#crudd
package#DataLifecycle,domain#crudu,domain#crudr
package#DataLifecycle,domain#flows,domain#copyOf
package#DataLifecycle,domain#flowsIn,domain#flows
package#DataLifecycle,domain#flowsOut,domain#flows
package#DataLifecycle,domain#initiatesData,domain#connectsData
package#DataLifecycle,domain#noDX,domain#noDU
package#DataLifecycle,domain#respondsData,domain#connectsData
package#IoT,domain#amendsSensor,domain#controlsSensor
package#IoT,domain#amendsSensor,domain#pollsSensor
package#IoT,domain#readsSensor,domain#pollsSensor
package#IoT,domain#updatesSensor,domain#controlsSensor
package#IoT,domain#updatesSensor,domain#readsSensor
package#Network,domain#implementsHS,domain#implements
package#Network,domain#implementsHS,domain#implementsAN
package#Network,domain#isHotspot,domain#isAbstractSubnet
package#Network,domain#locatedIn,domain#mayBeIn
package#Network,domain#uses,domain#usesService
package#Network,domain#usesForAuth,domain#usesService
package#Network,domain#usesForAuthZ,domain#accessesService
package#Network,domain#usesService,domain#accessesService
package#ProcessComms,domain#usesAsProxy,domain#viaProxy
package#ProcessComms,domain#usesViaDeputy,domain#usesIndirectly
package#ProcessComms,domain#usesViaProxy,domain#usesViaDeputy
package#ProcessComms,domain#usesViaProxy,domain#viaProxy
package#ProcessComms,domain#usesViaRAS,domain#usesIndirectly
package#ProcessTrust,domain#flowsViaCS,domain#flowsViaChannel
package#ProcessTrust,domain#flowsViaSC,domain#flowsViaChannel
package#ProcessTrust,domain#proxyAuthN,domain#noAuthN
package#ProcessTrust,domain#proxyAuthN,domain#sharesCredentials
package#ProcessTrust,domain#viaSharedCredentials,domain#usesViaDeputy
