package,dependsOn
domain#000000,package#Virtualisation
package#5G,package#Virtualisation
package#AccessContext,package#Users
package#Application,package#Network
package#CloudManagement,package#Virtualisation
package#DataLifecycle,package#ProcessComms
package#DataStructure,package#ProcessTrust
package#GDPR,package#Legal
package#IoT,package#Privacy
package#Legal,package#Privacy
package#LocalDeviceConnectivity,package#NetworkConnectivity
package#LocalDeviceConnectivity,package#ProcessComms
package#Network,package#AccessContext
package#Network,package#Users
package#NetworkConnectivity,package#Network
package#Physical,package#Core
package#Privacy,package#DataLifecycle
package#ProcessComms,package#Application
package#ProcessComms,package#NetworkConnectivity
package#ProcessTrust,package#DataLifecycle
package#ProcessTrust,package#ProcessComms
package#Theft,package#ProcessTrust
package#Users,package#Physical
package#Virtualisation,package#NetworkConnectivity
package#Virtualisation,package#ProcessTrust
package#VulnerabilityCVSS,package#LocalDeviceConnectivity
package#VulnerabilityCVSS,package#ProcessTrust
