IV,LV,package,impactLevel,likelihoodLevel,riskLevel,RV
0,0,domain#000000,domain#ImpactLevelNegligible,domain#Negligible,domain#RiskLevelVeryLow,0
0,0,package#Core,domain#ImpactLevelNegligible,domain#Negligible,domain#RiskLevelVeryLow,0
0,1,package#Core,domain#ImpactLevelNegligible,domain#LikelihoodVeryLow,domain#RiskLevelVeryLow,0
0,2,package#Core,domain#ImpactLevelNegligible,domain#LikelihoodLow,domain#RiskLevelVeryLow,0
0,3,package#Core,domain#ImpactLevelNegligible,domain#LikelihoodMedium,domain#RiskLevelVeryLow,0
0,4,package#Core,domain#ImpactLevelNegligible,domain#LikelihoodHigh,domain#RiskLevelVeryLow,0
0,5,package#Core,domain#ImpactLevelNegligible,domain#LikelihoodVeryHigh,domain#RiskLevelVeryLow,0
1,0,package#Core,domain#ImpactLevelVeryLow,domain#Negligible,domain#RiskLevelVeryLow,0
1,1,package#Core,domain#ImpactLevelVeryLow,domain#LikelihoodVeryLow,domain#RiskLevelVeryLow,0
1,2,package#Core,domain#ImpactLevelVeryLow,domain#LikelihoodLow,domain#RiskLevelVeryLow,0
1,3,package#Core,domain#ImpactLevelVeryLow,domain#LikelihoodMedium,domain#RiskLevelVeryLow,0
1,4,package#Core,domain#ImpactLevelVeryLow,domain#LikelihoodHigh,domain#RiskLevelLow,1
1,5,package#Core,domain#ImpactLevelVeryLow,domain#LikelihoodVeryHigh,domain#RiskLevelLow,1
2,0,package#Core,domain#ImpactLevelLow,domain#Negligible,domain#RiskLevelVeryLow,0
2,1,package#Core,domain#ImpactLevelLow,domain#LikelihoodVeryLow,domain#RiskLevelVeryLow,0
2,2,package#Core,domain#ImpactLevelLow,domain#LikelihoodLow,domain#RiskLevelVeryLow,0
2,3,package#Core,domain#ImpactLevelLow,domain#LikelihoodMedium,domain#RiskLevelLow,1
2,4,package#Core,domain#ImpactLevelLow,domain#LikelihoodHigh,domain#RiskLevelLow,1
2,5,package#Core,domain#ImpactLevelLow,domain#LikelihoodVeryHigh,domain#RiskLevelMedium,2
3,0,package#Core,domain#ImpactLevelMedium,domain#Negligible,domain#RiskLevelVeryLow,0
3,1,package#Core,domain#ImpactLevelMedium,domain#LikelihoodVeryLow,domain#RiskLevelVeryLow,0
3,2,package#Core,domain#ImpactLevelMedium,domain#LikelihoodLow,domain#RiskLevelLow,1
3,3,package#Core,domain#ImpactLevelMedium,domain#LikelihoodMedium,domain#RiskLevelMedium,2
3,4,package#Core,domain#ImpactLevelMedium,domain#LikelihoodHigh,domain#RiskLevelHigh,3
3,5,package#Core,domain#ImpactLevelMedium,domain#LikelihoodVeryHigh,domain#RiskLevelHigh,3
4,0,package#Core,domain#ImpactLevelHigh,domain#Negligible,domain#RiskLevelVeryLow,0
4,1,package#Core,domain#ImpactLevelHigh,domain#LikelihoodVeryLow,domain#RiskLevelLow,1
4,2,package#Core,domain#ImpactLevelHigh,domain#LikelihoodLow,domain#RiskLevelMedium,2
4,3,package#Core,domain#ImpactLevelHigh,domain#LikelihoodMedium,domain#RiskLevelHigh,3
4,4,package#Core,domain#ImpactLevelHigh,domain#LikelihoodHigh,domain#RiskLevelVeryHigh,4
4,5,package#Core,domain#ImpactLevelHigh,domain#LikelihoodVeryHigh,domain#RiskLevelVeryHigh,4
5,0,package#Core,domain#ImpactLevelVeryHigh,domain#Negligible,domain#RiskLevelVeryLow,0
5,1,package#Core,domain#ImpactLevelVeryHigh,domain#LikelihoodVeryLow,domain#RiskLevelLow,1
5,2,package#Core,domain#ImpactLevelVeryHigh,domain#LikelihoodLow,domain#RiskLevelMedium,2
5,3,package#Core,domain#ImpactLevelVeryHigh,domain#LikelihoodMedium,domain#RiskLevelHigh,3
5,4,package#Core,domain#ImpactLevelVeryHigh,domain#LikelihoodHigh,domain#RiskLevelVeryHigh,4
5,5,package#Core,domain#ImpactLevelVeryHigh,domain#LikelihoodVeryHigh,domain#RiskLevelVeryHigh,4
