package,URI,label,comment
domain#000000,domain#000000,BaseStation,12345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678
package#5G,domain#Role_BaseStation,BaseStation,"A specialised type of router comprising part of a cellular network that provides a radio access network in a locality (a cell), and has its own connection to wide area network allowing communication from cell to cell or between cells and the Internet, etc."
package#5G,domain#Role_CellularNetwork,CellularNetwork,"An (abstract) network representing a cellular network, usually in patterns that include implementation in at least one location in the form of a related logical subnet."
package#5G,domain#Role_OtherCellularNetwork,OtherCellularNetwork,"An (abstract) network representing a cellular network, in this case the second such cellular network in a pattern."
package#5G,domain#Role_PublicCellularNetwork,PublicCellularNetwork,A public cellular network.
package#5G,domain#Role_RAN,RAN,A radio access network providing cellular network connectivity in a location.
package#AIHarms,domain#Role_Hyperparameters,Hyperparameters,The data asset representing the hyperparameters of a ML training algorithm.
package#AIHarms,domain#Role_MLModel,MLModel,A process that is a ML model.
package#AIHarms,domain#Role_MLTrainingAlgorithm,MLTrainingAlgorithm,A process that is a ML training algorithm.
package#AIHarms,domain#Role_ModelInputData,ModelInputData,The data that is input into a ML model.
package#AIHarms,domain#Role_ModelParameters,ModelParameters,The model parameters (or weights) of a ML model.
package#AIHarms,domain#Role_TestingData,TestingData,The testing data of a ML training algorithm.
package#AIHarms,domain#Role_TrainingData,TrainingData,The training data of a ML training algorithm.
package#AIHarms,domain#Role_ValidationData,ValidationData,The validation data of a ML training algorithm.
package#AccessContext,domain#Role_AccessContext,AccessContext,A context in which access rights may be held or gained.
package#AccessContext,domain#Role_FromContext,FromContext,A context in which access rights are held and may be exploited.
package#AccessContext,domain#Role_ToContext,ToContext,A context in which access rights may be obtained.
package#Application,domain#Role_DB,DB,"A process role, usually filled by a DB process supporting complex data queries."
package#Application,domain#Role_Data,Data,A data role.
package#Application,domain#Role_DataService,DataService,A data service role.
package#Application,domain#Role_DesktopService,DesktopService,"A desktop service, i.e. a service allowing access to a host via a remote desktop client."
package#Application,domain#Role_Editor,Editor,"An editor process, i.e. one that allows user interactions with data."
package#Application,domain#Role_Input,Input,A data asset that is a process input.
package#Application,domain#Role_InteractiveProcess,InteractiveProcess,A process facilitating (possibly specialised to support) user interactions with data.
package#Application,domain#Role_Output,Output,A data asset that is a process output.
package#Application,domain#Role_OutputField,OutputField,A Data Field used as output.
package#Application,domain#Role_RemoteDesktop,RemoteDesktop,A remote desktop client process.
package#Application,domain#Role_TextEditor,TextEditor,"A text editor process, i.e. one that allows user interactions with data via a non-graphical login shell."
package#Application,domain#Role_WebBrowser,WebBrowser,A web browser.
package#CloudManagement,domain#Role_APIServer,APIServer,A reverse proxy providing access to virtual host login and admin functions in a cloud data centre.
package#CloudManagement,domain#Role_CloudMaster,CloudMaster,An master node in a virtual cluster supporting automated management of services in the cloud.
package#CloudManagement,domain#Role_CloudWorker,CloudWorker,An worker node in a virtual cluster supporting automated management of services in the cloud.
package#CloudManagement,domain#Role_ClusterIP,ClusterIP,An overlay network connecting nodes in a virtual cluster supporting automated management of services in the cloud.
