package,URI,metaLocatedAt
domain#000000,domain#000000,domain#BaseStation
package#5G,domain#Role_BaseStation,domain#BaseStation
package#5G,domain#Role_CellularNetwork,domain#CellularNetwork
package#5G,domain#Role_OtherCellularNetwork,domain#CellularNetwork
package#5G,domain#Role_PublicCellularNetwork,domain#PublicCellularNetwork
package#5G,domain#Role_RAN,domain#RAN
package#AccessContext,domain#Role_AccessContext,domain#AccessContext
package#AccessContext,domain#Role_FromContext,domain#AccessContext
package#AccessContext,domain#Role_ToContext,domain#AccessContext
package#Application,domain#Role_Data,domain#Data
package#Application,domain#Role_Data,domain#TypeOverlayData
package#Application,domain#Role_DataService,domain#DataService
package#Application,domain#Role_DB,domain#Process
package#Application,domain#Role_DesktopService,domain#DesktopService
package#Application,domain#Role_Editor,domain#Editor
package#Application,domain#Role_Input,domain#Data
package#Application,domain#Role_InteractiveProcess,domain#InteractiveProcess
package#Application,domain#Role_Output,domain#Data
package#Application,domain#Role_Process,domain#ConsoleProcess
package#Application,domain#Role_Process,domain#InteractiveProcess
package#Application,domain#Role_RemoteDesktop,domain#RemoteDesktop
package#Application,domain#Role_TextEditor,domain#TextEditor
package#Application,domain#Role_WebBrowser,domain#WebBrowser
package#CloudManagement,domain#Role_APIServer,domain#APIServer
package#CloudManagement,domain#Role_CloudMaster,domain#Master
package#CloudManagement,domain#Role_CloudWorker,domain#Worker
package#CloudManagement,domain#Role_ClusterIP,domain#ClusterIP
package#CloudManagement,domain#Role_Container,domain#Container
package#CloudManagement,domain#Role_Ingress,domain#Ingress
package#CloudManagement,domain#Role_Pod,domain#Pod
package#Core,domain#Role_DebugMarker,domain#DebugMarker
package#DataLifecycle,domain#Role_AccessFrom,domain#DataAccess
package#DataLifecycle,domain#Role_AccessFrom,domain#DataPool
package#DataLifecycle,domain#Role_AccessFrom,domain#DataUse
package#DataLifecycle,domain#Role_AccessTo,domain#DataAccess
package#DataLifecycle,domain#Role_AccessTo,domain#DataPool
package#DataLifecycle,domain#Role_AccessTo,domain#DataUse
package#DataLifecycle,domain#Role_DataAccess,domain#DataAccess
package#DataLifecycle,domain#Role_DataAccess,domain#DataPool
package#DataLifecycle,domain#Role_DataAccess,domain#DataProcess
