package,URI,label,comment,usesLoopback,usesParallel
domain#000000,domain#000000,CcBrR,12345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678,FALSE,FALSE
package#5G,domain#R-CcBrR,CcBrR,"Finds a Base Station connected to a backhaul Core Network and providing a RAN, both of which are part of a Cellular Network.",FALSE,FALSE
package#5G,domain#R-CN,CN,Finds a cellular network.,FALSE,FALSE
package#5G,domain#R-CNCN,CNCN,Finds a Cellular Network implemented by a Core Network.,FALSE,FALSE
package#5G,domain#R-CNHS,CNHS,Finds a core network implementing a cellular network accessible from a space in which there is a device connected to the cellular network.,FALSE,FALSE
package#5G,domain#R-CNR,CNR,Finds a cellular network provided by a router.,FALSE,FALSE
package#5G,domain#R-CrCcL3,CrCcL3,"Finds a core router providing a core network backhaul for a cellular network, connected to an IP subnet.",FALSE,FALSE
package#5G,domain#R-CScGcCS,CScGcCS,"Finds a Physical Host connected between two Cellular networks, both in the same space.",FALSE,FALSE
package#5G,domain#R-FCNS,FCNS,Finds a Cellular Network to which is connected a Fixed Host (or a Virtual Host running on it) located in a Space.,FALSE,FALSE
package#5G,domain#R-L3cCrC,L3cCrC,"Finds a core router providing a core network backhaul for a cellular network, connected to an IP subnet.",FALSE,FALSE
package#5G,domain#R-MPCNS,MPCNS,Finds a Public Cellular Network to which is connected a Mobile Host (or a Virtual Host running on it) located in a Space.,FALSE,FALSE
package#5G,domain#R-PcCN,PcCN,Finds a process controlling a cellular network and an associated RAN.,FALSE,FALSE
package#5G,domain#R-PCN,PCN,Finds a Public Cellular Network.,FALSE,FALSE
package#5G,domain#R-PCNRWI,PCNRWI,"Finds router providing a Public Cellular Network accessible from the World, along with the Internet which should also be accessible from the World.",FALSE,FALSE
package#5G,domain#R-RrBcC,RrBcC,Finds a BaseStation providing a RAN and connected to a (backhaul) core network both of which are part of a cellular network.,FALSE,FALSE
package#Application,domain#R-CP,CP,Finds a solo Console Process.,FALSE,FALSE
package#Application,domain#R-D,D,Finds a solo Data asset.,FALSE,FALSE
package#Application,domain#R-HD,HD,Finds Data stored at a Host.,FALSE,FALSE
