package,URI,hasLink
domain#000000,domain#000000,domain#Link-BaseStation-locatedIn-Space
package#5G,domain#R-BSCNSRAN,domain#Link-BaseStation-locatedIn-Space
package#5G,domain#R-BSCNSRAN,domain#Link-CellularNetwork-accessibleFrom-Space
package#5G,domain#R-BSCNSRAN,domain#Link-CoreNetwork-implementsCN-CellularNetwork
package#5G,domain#R-BSCNSRAN,domain#Link-Gateway-connectedTo-CellularNetwork
package#5G,domain#R-BSCNSRAN,domain#Link-Gateway-hasPhysicalHost-BaseStation
package#5G,domain#R-BSCNSRAN,domain#Link-RAN-accessibleFrom-Space
package#5G,domain#R-BSCNSRAN,domain#Link-RAN-implementsCN-CellularNetwork
package#5G,domain#R-CNCN,domain#Link-CoreNetwork-implementsCN-CellularNetwork
package#5G,domain#R-CNCNBSS,domain#Link-BaseStation-locatedIn-Space
package#5G,domain#R-CNCNBSS,domain#Link-CoreNetwork-implementsCN-CellularNetwork
package#5G,domain#R-CNCNBSS,domain#Link-Gateway-connectedTo-CoreNetwork
package#5G,domain#R-CNCNBSS,domain#Link-Gateway-hasPhysicalHost-BaseStation
package#5G,domain#R-CNHS+RAN,domain#Link-CellularNetwork-accessibleFrom-Space
package#5G,domain#R-CNHS+RAN,domain#Link-CoreNetwork-implementsCN-CellularNetwork
package#5G,domain#R-CNHS+RAN,domain#Link-Host-connectedTo-CellularNetwork
package#5G,domain#R-CNHS+RAN,domain#Link-Host-hasPhysicalHost-PhysicalHost
package#5G,domain#R-CNHS+RAN,domain#Link-PhysicalHost-locatedIn-Space
package#5G,domain#R-CNHS+RAN,domain#Link-RAN-accessibleFrom-Space
package#5G,domain#R-CNHS+RAN,domain#Link-RAN-implementsCN-CellularNetwork
package#5G,domain#R-CNR,domain#Link-CellularNetwork-providedBy-Gateway
package#5G,domain#R-CNRAN2S,domain#Link-Gateway-hasPhysicalHost-PhysicalHost
package#5G,domain#R-CNRAN2S,domain#Link-PhysicalHost-locatedIn-OtherSpace
package#5G,domain#R-CNRAN2S,domain#Link-PhysicalHost-locatedIn-Space
package#5G,domain#R-CNRAN2S,domain#Link-RAN-implementsCN-CellularNetwork
package#5G,domain#R-CNRAN2S,domain#Link-RAN-providedBy-Gateway
package#5G,domain#R-CNRANBSS,domain#Link-BaseStation-locatedIn-Space
package#5G,domain#R-CNRANBSS,domain#Link-Gateway-hasPhysicalHost-BaseStation
package#5G,domain#R-CNRANBSS,domain#Link-RAN-implementsCN-CellularNetwork
package#5G,domain#R-CNRANBSS,domain#Link-RAN-providedBy-Gateway
package#5G,domain#R-CNRANS,domain#Link-LogicalSubnet-accessibleFrom-Space
package#5G,domain#R-CNRANS,domain#Link-LogicalSubnet-implementsCN-CellularNetwork
package#5G,domain#R-CNRS,domain#Link-CellularNetwork-providedBy-Gateway
package#5G,domain#R-CNRS,domain#Link-Gateway-locatedIn-Space
package#5G,domain#R-CNRS,domain#Link-LogicalSubnet-implementsCN-CellularNetwork
package#5G,domain#R-CNRS,domain#Link-LogicalSubnet-providedBy-Gateway
package#5G,domain#R-CNS,domain#Link-CellularNetwork-accessibleFrom-Space
package#5G,domain#R-CNS,domain#Link-CoreNetwork-implementsCN-CellularNetwork
package#5G,domain#R-CNS+RAN+BS,domain#Link-CellularNetwork-accessibleFrom-Space
package#5G,domain#R-CNS+RAN+BS,domain#Link-CoreNetwork-implementsCN-CellularNetwork
package#5G,domain#R-CNS+RAN+BS,domain#Link-Gateway-connectedTo-CoreNetwork
package#5G,domain#R-CNS+RAN+BS,domain#Link-Gateway-hasPhysicalHost-PhysicalHost
package#5G,domain#R-CNS+RAN+BS,domain#Link-RAN-accessibleFrom-Space
package#5G,domain#R-CNS+RAN+BS,domain#Link-RAN-implementsCN-CellularNetwork
package#5G,domain#R-CNS+RAN+BS,domain#Link-RAN-providedBy-Gateway
package#5G,domain#R-CNSBSRAN,domain#Link-BaseStation-locatedIn-Space
package#5G,domain#R-CNSBSRAN,domain#Link-CellularNetwork-accessibleFrom-Space
package#5G,domain#R-CNSBSRAN,domain#Link-CoreNetwork-implementsCN-CellularNetwork
package#5G,domain#R-CNSBSRAN,domain#Link-Gateway-connectedTo-CoreNetwork
package#5G,domain#R-CNSBSRAN,domain#Link-Gateway-hasPhysicalHost-BaseStation
package#5G,domain#R-CNSBSRAN,domain#Link-RAN-accessibleFrom-Space
package#5G,domain#R-CNSBSRAN,domain#Link-RAN-implementsCN-CellularNetwork
package#5G,domain#R-CrCcL3,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-CrCcL3,domain#Link-FromSubnet-providedBy-Gateway
package#5G,domain#R-CrCcL3,domain#Link-Gateway-connectedTo-ToSubnet
package#5G,domain#R-CScGcCS,domain#Link-CellularNetwork-accessibleFrom-Space
package#5G,domain#R-CScGcCS,domain#Link-Gateway-connectedTo-CellularNetwork
package#5G,domain#R-CScGcCS,domain#Link-Gateway-connectedTo-OtherCellularNetwork
package#5G,domain#R-CScGcCS,domain#Link-Gateway-locatedIn-Space
package#5G,domain#R-CScGcCS,domain#Link-OtherCellularNetwork-accessibleFrom-Space
package#5G,domain#R-FCNS,domain#Link-Host-connectedTo-CellularNetwork
package#5G,domain#R-FCNS,domain#Link-Host-hasPhysicalHost-PhysicalHost
package#5G,domain#R-FCNS,domain#Link-PhysicalHost-locatedIn-Space
package#5G,domain#R-L3cBrPR,domain#Link-FromSubnet-accessibleFrom-Space
package#5G,domain#R-L3cBrPR,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-L3cBrPR,domain#Link-ToSubnet-accessibleFrom-Space
package#5G,domain#R-L3cBrPR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-L3cBrPR,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-L3cBrUR,domain#Link-FromSubnet-accessibleFrom-Space
package#5G,domain#R-L3cBrUR,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-L3cBrUR,domain#Link-ToSubnet-accessibleFrom-Space
package#5G,domain#R-L3cBrUR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-L3cBrUR,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-L3cCrPC,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-L3cCrPC,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-L3cCrPC,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-L3cCrUC,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-L3cCrUC,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-L3cCrUC,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-L3cGcR,domain#Link-FromSubnet-accessibleFrom-Space
package#5G,domain#R-L3cGcR,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-L3cGcR,domain#Link-Gateway-connectedTo-ToSubnet
package#5G,domain#R-L3cGcR,domain#Link-ToSubnet-accessibleFrom-Space
package#5G,domain#R-L3cGcR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-L3rBrPR,domain#Link-FromSubnet-providedBy-Gateway
package#5G,domain#R-L3rBrPR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-L3rBrPR,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-L3rBrR,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-L3rBrR,domain#Link-FromSubnet-providedBy-Gateway
package#5G,domain#R-L3rBrR,domain#Link-ToSubnet-accessibleFrom-Space
package#5G,domain#R-L3rBrR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-L3rBrR,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-L3rBrUR,domain#Link-FromSubnet-providedBy-Gateway
package#5G,domain#R-L3rBrUR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-L3rBrUR,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-MPCNS,domain#Link-Host-connectedTo-PublicCellularNetwork
package#5G,domain#R-MPCNS,domain#Link-Host-hasPhysicalHost-PhysicalHost
package#5G,domain#R-MPCNS,domain#Link-PhysicalHost-locatedIn-Space
package#5G,domain#R-PCcBrPR,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-PCcBrPR,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-PCcBrPR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-PCcBrPR,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-PcCNLS,domain#Link-LogicalSubnet-implementsCN-CellularNetwork
package#5G,domain#R-PcCNLS,domain#Link-Process-controls-CellularNetwork
package#5G,domain#R-PCNRSI,domain#Link-Gateway-connectedTo-Internet
package#5G,domain#R-PCNRSI,domain#Link-Gateway-hasPhysicalHost-PhysicalHost
package#5G,domain#R-PCNRSI,domain#Link-PhysicalHost-locatedIn-Space
package#5G,domain#R-PCNRSI,domain#Link-PublicCellularNetwork-providedBy-Gateway
package#5G,domain#R-PCNRWI,domain#Link-Internet-accessibleFrom-World
package#5G,domain#R-PCNRWI,domain#Link-PublicCellularNetwork-accessibleFrom-World
package#5G,domain#R-PCNRWI,domain#Link-PublicCellularNetwork-providedBy-Gateway
package#5G,domain#R-PCNSRAN,domain#Link-CellularNetwork-accessibleFrom-Space
package#5G,domain#R-PCNSRAN,domain#Link-CoreNetwork-implementsCN-CellularNetwork
package#5G,domain#R-PCNSRAN,domain#Link-RAN-accessibleFrom-Space
package#5G,domain#R-PCNSRAN,domain#Link-RAN-implementsCN-CellularNetwork
package#5G,domain#R-PRrBcL3,domain#Link-FromSubnet-accessibleFrom-Space
package#5G,domain#R-PRrBcL3,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-PRrBcL3,domain#Link-FromSubnet-providedBy-Gateway
package#5G,domain#R-PRrBcL3,domain#Link-Gateway-connectedTo-ToSubnet
package#5G,domain#R-PRrBcL3,domain#Link-ToSubnet-accessibleFrom-Space
package#5G,domain#R-PRrBrPR,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-PRrBrPR,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-PRrBrPR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-PRrBrPR,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-RcGcL3,domain#Link-FromSubnet-accessibleFrom-Space
package#5G,domain#R-RcGcL3,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-RcGcL3,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-RcGcL3,domain#Link-Gateway-connectedTo-ToSubnet
package#5G,domain#R-RcGcL3,domain#Link-ToSubnet-accessibleFrom-Space
package#5G,domain#R-RrBcC,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-RrBcC,domain#Link-FromSubnet-providedBy-Gateway
package#5G,domain#R-RrBcC,domain#Link-Gateway-connectedTo-ToSubnet
package#5G,domain#R-RrBcC,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-RrBrL3,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-RrBrL3,domain#Link-FromSubnet-providedBy-Gateway
package#5G,domain#R-RrBrL3,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-UCcBrUR,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-UCcBrUR,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-UCcBrUR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-UCcBrUR,domain#Link-ToSubnet-providedBy-Gateway
package#5G,domain#R-UCNSRAN,domain#Link-CellularNetwork-accessibleFrom-Space
package#5G,domain#R-UCNSRAN,domain#Link-CoreNetwork-implementsCN-CellularNetwork
package#5G,domain#R-UCNSRAN,domain#Link-RAN-accessibleFrom-Space
package#5G,domain#R-UCNSRAN,domain#Link-RAN-implementsCN-CellularNetwork
package#5G,domain#R-URrBcL3,domain#Link-FromSubnet-accessibleFrom-Space
package#5G,domain#R-URrBcL3,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-URrBcL3,domain#Link-FromSubnet-providedBy-Gateway
package#5G,domain#R-URrBcL3,domain#Link-Gateway-connectedTo-ToSubnet
package#5G,domain#R-URrBcL3,domain#Link-ToSubnet-accessibleFrom-Space
package#5G,domain#R-URrBrUR,domain#Link-FromSubnet-implementsCN-CellularNetwork
package#5G,domain#R-URrBrUR,domain#Link-Gateway-connectedTo-FromSubnet
package#5G,domain#R-URrBrUR,domain#Link-ToSubnet-implementsCN-CellularNetwork
package#5G,domain#R-URrBrUR,domain#Link-ToSubnet-providedBy-Gateway
package#Application,domain#R-HD,domain#Link-Host-stores-Data
package#Application,domain#R-HHuWE,domain#Link-Host-hosts-MUA
package#Application,domain#R-HHuWE,domain#Link-Host-hosts-WebBrowser
package#Application,domain#R-HHuWE,domain#Link-Human-interactsRemotelyWith-MUA
package#Application,domain#R-HHuWE,domain#Link-Human-interactsRemotelyWith-WebBrowser
package#Application,domain#R-HHuWSMS,domain#Link-Host-hosts-MUA
package#Application,domain#R-HHuWSMS,domain#Link-Host-hosts-WebBrowser
package#Application,domain#R-HHuWSMS,domain#Link-Human-interactsRemotelyWith-MUA
package#Application,domain#R-HHuWSMS,domain#Link-Human-interactsRemotelyWith-WebBrowser
package#Application,domain#R-HIP,domain#Link-Host-hosts-InteractiveProcess
package#Application,domain#R-HPrD,domain#Link-Host-hosts-Process
package#Application,domain#R-HPrD,domain#Link-Process-relays-Data
package#Application,domain#R-HPsD,domain#Link-Host-hosts-Process
package#Application,domain#R-HPsD,domain#Link-Process-serves-Data
package#Application,domain#R-HuaD,domain#Link-Human-inputsData-Data
package#Application,domain#R-HuaD,domain#Link-Human-viewsData-Data
package#Application,domain#R-HuaDPH,domain#Link-Host-hosts-Process
package#Application,domain#R-HuaDPH,domain#Link-Human-interactsRemotelyWith-Process
package#Application,domain#R-HuaDPH,domain#Link-Process-enablesUserInput-Data
package#Application,domain#R-HuaDPH,domain#Link-Process-enablesUserOutput-Data
package#Application,domain#R-HuaDPH,domain#Link-Process-processes-Data
package#Application,domain#R-HuaDRAC,domain#Link-Human-interactsWithData-Data
package#Application,domain#R-HuaDRAC,domain#Link-Human-interactsWith-RemoteAccessClient
package#Application,domain#R-HuaDRAC,domain#Link-Process-enablesUserAccess-Data
package#Application,domain#R-HuaDRAC,domain#Link-RemoteAccessClient-usesRemotely-Process
package#Application,domain#R-HuaID,domain#Link-Human-assertedInputsData-Data
package#Application,domain#R-HuaID,domain#Link-Human-inputsData-Data
package#Application,domain#R-HuaUD,domain#Link-Human-amendsData-Data
