package,URI,hasNode,keyNode
domain#000000,domain#000000,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-CcBrR,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-CcBrR,domain#Node-FromSubnet-CoreNetwork,TRUE
package#5G,domain#R-CcBrR,domain#Node-Gateway-BaseStation,TRUE
package#5G,domain#R-CcBrR,domain#Node-ToSubnet-RAN,TRUE
package#5G,domain#R-CN,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-CNCN,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-CNCN,domain#Node-CoreNetwork-CoreNetwork,TRUE
package#5G,domain#R-CNHS,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-CNHS,domain#Node-CoreNetwork-CoreNetwork,TRUE
package#5G,domain#R-CNHS,domain#Node-Host-Host,TRUE
package#5G,domain#R-CNHS,domain#Node-PhysicalHost-PhysicalHost,TRUE
package#5G,domain#R-CNHS,domain#Node-Space-Space,TRUE
package#5G,domain#R-CNR,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-CNR,domain#Node-Gateway-Router,TRUE
package#5G,domain#R-CrCcL3,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-CrCcL3,domain#Node-FromSubnet-CoreNetwork,TRUE
package#5G,domain#R-CrCcL3,domain#Node-Gateway-Host,TRUE
package#5G,domain#R-CrCcL3,domain#Node-ToSubnet-L3Subnet,TRUE
package#5G,domain#R-CScGcCS,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-CScGcCS,domain#Node-Gateway-PhysicalHost,TRUE
package#5G,domain#R-CScGcCS,domain#Node-OtherCellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-CScGcCS,domain#Node-Space-Space,TRUE
package#5G,domain#R-FCNS,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-FCNS,domain#Node-Host-Host,TRUE
package#5G,domain#R-FCNS,domain#Node-PhysicalHost-FixedHost,TRUE
package#5G,domain#R-FCNS,domain#Node-Space-Space,TRUE
package#5G,domain#R-L3cCrC,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-L3cCrC,domain#Node-FromSubnet-L3Subnet,TRUE
package#5G,domain#R-L3cCrC,domain#Node-Gateway-Host,TRUE
package#5G,domain#R-L3cCrC,domain#Node-ToSubnet-CoreNetwork,TRUE
package#5G,domain#R-MPCNS,domain#Node-Host-Host,TRUE
package#5G,domain#R-MPCNS,domain#Node-PhysicalHost-MobileHost,TRUE
package#5G,domain#R-MPCNS,domain#Node-PublicCellularNetwork-PublicCellularNetwork,TRUE
package#5G,domain#R-MPCNS,domain#Node-Space-Space,TRUE
package#5G,domain#R-PcCN,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-PcCN,domain#Node-Process-Process,TRUE
package#5G,domain#R-PcCN,domain#Node-RAN-RAN,TRUE
package#5G,domain#R-PCN,domain#Node-PublicCellularNetwork-PublicCellularNetwork,TRUE
package#5G,domain#R-PCNRWI,domain#Node-Gateway-Router,TRUE
package#5G,domain#R-PCNRWI,domain#Node-Internet-Internet,TRUE
package#5G,domain#R-PCNRWI,domain#Node-PublicCellularNetwork-PublicCellularNetwork,TRUE
package#5G,domain#R-PCNRWI,domain#Node-World-World,TRUE
package#5G,domain#R-RrBcC,domain#Node-CellularNetwork-CellularNetwork,TRUE
package#5G,domain#R-RrBcC,domain#Node-FromSubnet-RAN,TRUE
package#5G,domain#R-RrBcC,domain#Node-Gateway-BaseStation,TRUE
package#5G,domain#R-RrBcC,domain#Node-ToSubnet-CoreNetwork,TRUE
package#Application,domain#R-CP,domain#Node-Process-ConsoleProcess,TRUE
package#Application,domain#R-D,domain#Node-Data-Data,TRUE
package#Application,domain#R-HD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HD,domain#Node-Host-Host,TRUE
package#Application,domain#R-HHuWE,domain#Node-Host-Host,TRUE
package#Application,domain#R-HHuWE,domain#Node-Human-Human,TRUE
package#Application,domain#R-HHuWE,domain#Node-MUA-EmailClient,TRUE
package#Application,domain#R-HHuWE,domain#Node-WebBrowser-WebBrowser,TRUE
package#Application,domain#R-HHuWSMS,domain#Node-Host-Host,TRUE
package#Application,domain#R-HHuWSMS,domain#Node-Human-Human,TRUE
package#Application,domain#R-HHuWSMS,domain#Node-MUA-SMSClient,TRUE
package#Application,domain#R-HHuWSMS,domain#Node-WebBrowser-WebBrowser,TRUE
package#Application,domain#R-HIP,domain#Node-Host-Host,TRUE
package#Application,domain#R-HIP,domain#Node-InteractiveProcess-InteractiveProcess,TRUE
package#Application,domain#R-HPrD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HPrD,domain#Node-Host-Host,TRUE
package#Application,domain#R-HPrD,domain#Node-Process-Process,TRUE
package#Application,domain#R-HPsD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HPsD,domain#Node-Host-Host,TRUE
package#Application,domain#R-HPsD,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuaD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuaD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuaDPH,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuaDPH,domain#Node-Host-Host,TRUE
package#Application,domain#R-HuaDPH,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuaDPH,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuaDRAC,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuaDRAC,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuaDRAC,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuaDRAC,domain#Node-RemoteAccessClient-RemoteAccessClient,TRUE
package#Application,domain#R-HuaID,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuaID,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuaUD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuaUD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuaVD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuaVD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuHWES,domain#Node-Host-Host,TRUE
package#Application,domain#R-HuHWES,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuHWES,domain#Node-MUA-EmailService,TRUE
package#Application,domain#R-HuHWES,domain#Node-WebBrowser-WebBrowser,TRUE
package#Application,domain#R-HuiCHDtS,domain#Node-ConsoleHost-ConsoleHost,TRUE
package#Application,domain#R-HuiCHDtS,domain#Node-DesktopService-DesktopService,TRUE
package#Application,domain#R-HuiCHDtS,domain#Node-Host-Host,TRUE
package#Application,domain#R-HuiCHDtS,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuiD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuiD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuiDPH,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuiDPH,domain#Node-Host-Host,TRUE
package#Application,domain#R-HuiDPH,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuiDPH,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuiPiDCHS,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuiPiDCHS,domain#Node-Host-ConsoleHost,TRUE
package#Application,domain#R-HuiPiDCHS,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuiPiDCHS,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuiPiDCHS,domain#Node-Space-Space,TRUE
package#Application,domain#R-HuiRACHSPiD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuiRACHSPiD,domain#Node-Host-ConsoleHost,TRUE
package#Application,domain#R-HuiRACHSPiD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuiRACHSPiD,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuiRACHSPiD,domain#Node-RemoteAccessClient-RemoteAccessClient,TRUE
package#Application,domain#R-HuiRACHSPiD,domain#Node-Space-Space,TRUE
package#Application,domain#R-HuirEcD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirEcD,domain#Node-Editor-Editor,TRUE
package#Application,domain#R-HuirEcD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirErD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirErD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirErD,domain#Node-Process-Editor,TRUE
package#Application,domain#R-HuirIPaD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirIPaD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirIPaD,domain#Node-InteractiveProcess-InteractiveProcess,TRUE
package#Application,domain#R-HuirIPpD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirIPpD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirIPpD,domain#Node-InteractiveProcess-InteractiveProcess,TRUE
package#Application,domain#R-HuirPaD+eUI,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirPaD+eUI,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirPaD+eUI,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuirPcD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirPcD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirPcD,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuirPeID,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirPeID,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirPeID,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuirPeOD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirPeOD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirPeOD,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuirPeUD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirPeUD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirPeUD,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuirPrD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirPrD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirPrD,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuirPsD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuirPsD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuirPsD,domain#Node-Process-Process,TRUE
package#Application,domain#R-HuuD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuuD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuvD,domain#Node-Data-Data,TRUE
package#Application,domain#R-HuvD,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuWES,domain#Node-Human-Human,TRUE
package#Application,domain#R-HuWES,domain#Node-MUA-EmailService,TRUE
package#Application,domain#R-HuWES,domain#Node-WebBrowser-WebBrowser,TRUE
package#Application,domain#R-PaD,domain#Node-Data-Data,TRUE
package#Application,domain#R-PaD,domain#Node-Process-Process,TRUE
package#Application,domain#R-PaDH,domain#Node-Data-Data,TRUE
package#Application,domain#R-PaDH,domain#Node-Host-Host,TRUE
package#Application,domain#R-PaDH,domain#Node-Process-Process,TRUE
package#Application,domain#R-PcDH,domain#Node-Data-Data,TRUE
package#Application,domain#R-PcDH,domain#Node-Host-Host,TRUE
package#Application,domain#R-PcDH,domain#Node-Process-Process,TRUE
package#Application,domain#R-PpD+noDU,domain#Node-Data-Data,TRUE
package#Application,domain#R-PpD+noDU,domain#Node-Process-Process,TRUE
package#Application,domain#R-PrDH,domain#Node-Data-Data,TRUE
package#Application,domain#R-PrDH,domain#Node-Host-Host,TRUE
package#Application,domain#R-PrDH,domain#Node-Process-Process,TRUE
package#Application,domain#R-RDuHP,domain#Node-Host-Host,TRUE
package#Application,domain#R-RDuHP,domain#Node-Process-Process,TRUE
package#Application,domain#R-RDuHP,domain#Node-RemoteAccessClient-RemoteDesktop,TRUE
package#Application,domain#R-RDuRDuS,domain#Node-Process-Process,TRUE
package#Application,domain#R-RDuRDuS,domain#Node-RemoteAccessClient-RemoteDesktop,TRUE
package#Application,domain#R-RDuRDuS,domain#Node-RemoteDesktop-RemoteDesktop,TRUE
package#Application,domain#R-RDuRTuS,domain#Node-Process-Process,TRUE
package#Application,domain#R-RDuRTuS,domain#Node-RemoteAccessClient-RemoteDesktop,TRUE
package#Application,domain#R-RDuRTuS,domain#Node-RemoteTerminal-RemoteTerminal,TRUE
package#CloudManagement,domain#R-Ct,domain#Node-Container-Container,TRUE
package#CloudManagement,domain#R-CtDS,domain#Node-Container-Container,TRUE
package#CloudManagement,domain#R-CtDS,domain#Node-DataCopy-DataCopy,TRUE
package#CloudManagement,domain#R-CtDS,domain#Node-Data-Data,TRUE
package#CloudManagement,domain#R-CtH,domain#Node-Container-Container,TRUE
package#CloudManagement,domain#R-CtH,domain#Node-Host-Host,TRUE
package#CloudManagement,domain#R-CtHaH,domain#Node-Container-Container,TRUE
package#CloudManagement,domain#R-CtHaH,domain#Node-Host-Host,TRUE
package#CloudManagement,domain#R-CtHaH,domain#Node-SHost-Host,TRUE
package#CloudManagement,domain#R-CtHhPH,domain#Node-Container-Container,TRUE
package#CloudManagement,domain#R-CtHhPH,domain#Node-Host-Host,TRUE
package#CloudManagement,domain#R-CtHhPH,domain#Node-PhysicalHost-PhysicalHost,TRUE
package#CloudManagement,domain#R-DCCM,domain#Node-CloudMaster-Master,TRUE
package#CloudManagement,domain#R-DCCM,domain#Node-Cluster-Cluster,TRUE
package#CloudManagement,domain#R-DCCM,domain#Node-DataCentre-DataCentre,TRUE
package#CloudManagement,domain#R-DCCMCAP,domain#Node-APIServer-APIServer,TRUE
package#CloudManagement,domain#R-DCCMCAP,domain#Node-CloudMaster-Master,TRUE
package#CloudManagement,domain#R-DCCMCAP,domain#Node-Cluster-Cluster,TRUE
package#CloudManagement,domain#R-DCCMCAP,domain#Node-DataCentre-DataCentre,TRUE
package#CloudManagement,domain#R-DCCMCAP,domain#Node-Ingress-Ingress,TRUE
package#CloudManagement,domain#R-DCCMCAP,domain#Node-Process-Process,TRUE
package#CloudManagement,domain#R-DCCt,domain#Node-Container-Container,TRUE
package#CloudManagement,domain#R-DCCt,domain#Node-DataCentre-DataCentre,TRUE
package#CloudManagement,domain#R-DCMW,domain#Node-CloudMaster-Master,TRUE
package#CloudManagement,domain#R-DCMW,domain#Node-CloudWorker-Worker,TRUE
package#CloudManagement,domain#R-DCMW,domain#Node-DataCentre-DataCentre,TRUE
package#CloudManagement,domain#R-DCMW,domain#Node-Host-Host,TRUE
package#CloudManagement,domain#R-DCPHM,domain#Node-CloudMaster-Master,TRUE
package#CloudManagement,domain#R-DCPHM,domain#Node-DataCentre-DataCentre,TRUE
package#CloudManagement,domain#R-DCPHM,domain#Node-PhysicalHost-PhysicalHost,TRUE
package#CloudManagement,domain#R-DCPHW,domain#Node-CloudWorker-Worker,TRUE
package#CloudManagement,domain#R-DCPHW,domain#Node-DataCentre-DataCentre,TRUE
package#CloudManagement,domain#R-DCPHW,domain#Node-PhysicalHost-PhysicalHost,TRUE
package#CloudManagement,domain#R-HCt,domain#Node-Container-Container,TRUE
package#CloudManagement,domain#R-HCt,domain#Node-Host-Host,TRUE
package#CloudManagement,domain#R-HumPC,domain#Node-Container-Container,TRUE
package#CloudManagement,domain#R-HumPC,domain#Node-ProcessManager-Human,TRUE
package#CloudManagement,domain#R-HumPC,domain#Node-Process-Process,TRUE
package#CloudManagement,domain#R-KIP,domain#Node-Ingress-Ingress,TRUE
package#CloudManagement,domain#R-KIP,domain#Node-Process-Process,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-CHost-Host,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-Client-Process,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-CloudMaster-Master,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-CloudWorker-Worker,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-Container-Container,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-Ingress-Ingress,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-LogicalSubnet-LogicalSubnet,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-Pod-Pod,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-Process-Process,TRUE
package#CloudManagement,domain#R-KPxCaaSI,domain#Node-SHost-Host,TRUE
package#CloudManagement,domain#R-KPxCazSI,domain#Node-CHost-Host,TRUE
package#CloudManagement,domain#R-KPxCazSI,domain#Node-Client-Process,TRUE
package#CloudManagement,domain#R-KPxCazSI,domain#Node-CloudMaster-Master,TRUE
