package,URI,hasTrustworthinessAttribute,metaLocatedAt,hasLevel,independentLevels
domain#000000,domain#000000,domain#Availability,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-Availability-BaseStation,domain#Availability,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-Availability-PrivateCellularNetwork,domain#Availability,domain#PrivateCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-Availability-PublicCellularNetwork,domain#Availability,domain#PublicCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-Availability-RAN,domain#Availability,domain#RAN,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-CommsNotSnoopable-PrivateCellularNetwork,domain#CommsNotSnoopable,domain#PrivateCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-CommsNotSnoopable-PublicCellularNetwork,domain#CommsNotSnoopable,domain#PublicCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-CommsNotSnoopable-RAN,domain#CommsNotSnoopable,domain#RAN,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-Control-BaseStation,domain#Control,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-DefaultTW-BaseStation,domain#DefaultTW,domain#BaseStation,domain#TrustworthinessLevelVeryLow,TRUE
package#5G,domain#TWAADS-DefaultTW-RAN,domain#DefaultTW,domain#RAN,domain#TrustworthinessLevelVeryLow,TRUE
package#5G,domain#TWAADS-ExploitTW-BaseStation,domain#ExploitTW,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-ExtrinsicTW-BaseStation,domain#ExtrinsicTW,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-Health-BaseStation,domain#Health,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-IntrinsicTW-BaseStation,domain#IntrinsicTW,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-NetworkControl-PrivateCellularNetwork,domain#NetworkControl,domain#PrivateCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-NetworkControl-PublicCellularNetwork,domain#NetworkControl,domain#PublicCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-NetworkControl-RAN,domain#NetworkControl,domain#RAN,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-NetworkUserTW-PrivateCellularNetwork,domain#NetworkUserTW,domain#PrivateCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-NetworkUserTW-PublicCellularNetwork,domain#NetworkUserTW,domain#PublicCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-NetworkUserTW-RAN,domain#NetworkUserTW,domain#RAN,domain#TrustworthinessLevelMedium,TRUE
package#5G,domain#TWAADS-OutOfService-BaseStation,domain#OutOfService,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-OutOfService-PrivateCellularNetwork,domain#OutOfService,domain#PrivateCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-OutOfService-PublicCellularNetwork,domain#OutOfService,domain#PublicCellularNetwork,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-OutOfService-RAN,domain#OutOfService,domain#RAN,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-Reliability-BaseStation,domain#Reliability,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-ResourceTW-BaseStation,domain#ResourceTW,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-TrojanTW-BaseStation,domain#TrojanTW,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#5G,domain#TWAADS-UserTW-BaseStation,domain#UserTW,domain#BaseStation,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Authenticity-Data,domain#Authenticity,domain#Data,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Authenticity-SensitiveData,domain#Authenticity,domain#SensitiveData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Authenticity-SpamData,domain#Authenticity,domain#SpamData,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-Availability-ApplicationProcess,domain#Availability,domain#ApplicationProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-CmdLineProcess,domain#Availability,domain#CmdLineProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-Data,domain#Availability,domain#Data,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-DataService,domain#Availability,domain#DataService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-DB,domain#Availability,domain#DB,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-DesktopService,domain#Availability,domain#DesktopService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-Editor,domain#Availability,domain#Editor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-EmailMX,domain#Availability,domain#EmailMX,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-RemoteDesktop,domain#Availability,domain#RemoteDesktop,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-SensitiveData,domain#Availability,domain#SensitiveData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-SpamData,domain#Availability,domain#SpamData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-TextEditor,domain#Availability,domain#TextEditor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-WebApp,domain#Availability,domain#WebApp,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-WebBrowser,domain#Availability,domain#WebBrowser,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Availability-WebClient,domain#Availability,domain#WebClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Confidentiality-Data,domain#Confidentiality,domain#Data,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Confidentiality-SensitiveData,domain#Confidentiality,domain#SensitiveData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Confidentiality-SpamData,domain#Confidentiality,domain#SpamData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-DefaultTW-ApplicationProcess,domain#DefaultTW,domain#ApplicationProcess,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-CmdLineProcess,domain#DefaultTW,domain#CmdLineProcess,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-Data,domain#DefaultTW,domain#Data,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-DataService,domain#DefaultTW,domain#DataService,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-DB,domain#DefaultTW,domain#DB,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-DesktopService,domain#DefaultTW,domain#DesktopService,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-Editor,domain#DefaultTW,domain#Editor,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-EmailMX,domain#DefaultTW,domain#EmailMX,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-RemoteDesktop,domain#DefaultTW,domain#RemoteDesktop,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-SensitiveData,domain#DefaultTW,domain#SensitiveData,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-SpamData,domain#DefaultTW,domain#SpamData,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-TextEditor,domain#DefaultTW,domain#TextEditor,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-WebApp,domain#DefaultTW,domain#WebApp,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-WebBrowser,domain#DefaultTW,domain#WebBrowser,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-DefaultTW-WebClient,domain#DefaultTW,domain#WebClient,domain#TrustworthinessLevelVeryLow,TRUE
package#Application,domain#TWAADS-ExploitTW-ApplicationProcess,domain#ExploitTW,domain#ApplicationProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-CmdLineProcess,domain#ExploitTW,domain#CmdLineProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-DataService,domain#ExploitTW,domain#DataService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-DB,domain#ExploitTW,domain#DB,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-DesktopService,domain#ExploitTW,domain#DesktopService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-Editor,domain#ExploitTW,domain#Editor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-EmailMX,domain#ExploitTW,domain#EmailMX,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-RemoteDesktop,domain#ExploitTW,domain#RemoteDesktop,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-TextEditor,domain#ExploitTW,domain#TextEditor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-WebApp,domain#ExploitTW,domain#WebApp,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-WebBrowser,domain#ExploitTW,domain#WebBrowser,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExploitTW-WebClient,domain#ExploitTW,domain#WebClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-ApplicationProcess,domain#ExtrinsicTW,domain#ApplicationProcess,domain#TrustworthinessLevelMedium,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-CmdLineProcess,domain#ExtrinsicTW,domain#CmdLineProcess,domain#TrustworthinessLevelMedium,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-DataService,domain#ExtrinsicTW,domain#DataService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-DB,domain#ExtrinsicTW,domain#DB,domain#TrustworthinessLevelHigh,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-DesktopService,domain#ExtrinsicTW,domain#DesktopService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-Editor,domain#ExtrinsicTW,domain#Editor,domain#TrustworthinessLevelHigh,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-EmailMX,domain#ExtrinsicTW,domain#EmailMX,domain#TrustworthinessLevelHigh,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-RemoteDesktop,domain#ExtrinsicTW,domain#RemoteDesktop,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-TextEditor,domain#ExtrinsicTW,domain#TextEditor,domain#TrustworthinessLevelHigh,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-WebApp,domain#ExtrinsicTW,domain#WebApp,domain#TrustworthinessLevelHigh,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-WebBrowser,domain#ExtrinsicTW,domain#WebBrowser,domain#TrustworthinessLevelHigh,TRUE
package#Application,domain#TWAADS-ExtrinsicTW-WebClient,domain#ExtrinsicTW,domain#WebClient,domain#TrustworthinessLevelHigh,TRUE
package#Application,domain#TWAADS-Health-ApplicationProcess,domain#Health,domain#ApplicationProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-CmdLineProcess,domain#Health,domain#CmdLineProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-Data,domain#Health,domain#Data,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-DataService,domain#Health,domain#DataService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-DB,domain#Health,domain#DB,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-DesktopService,domain#Health,domain#DesktopService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-Editor,domain#Health,domain#Editor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-EmailMX,domain#Health,domain#EmailMX,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-RemoteDesktop,domain#Health,domain#RemoteDesktop,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-SensitiveData,domain#Health,domain#SensitiveData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-SpamData,domain#Health,domain#SpamData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-TextEditor,domain#Health,domain#TextEditor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-WebApp,domain#Health,domain#WebApp,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-WebBrowser,domain#Health,domain#WebBrowser,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Health-WebClient,domain#Health,domain#WebClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Integrity-Data,domain#Integrity,domain#Data,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Integrity-SensitiveData,domain#Integrity,domain#SensitiveData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Integrity-SpamData,domain#Integrity,domain#SpamData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-ApplicationProcess,domain#IntrinsicTW,domain#ApplicationProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-CmdLineProcess,domain#IntrinsicTW,domain#CmdLineProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-DataService,domain#IntrinsicTW,domain#DataService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-DB,domain#IntrinsicTW,domain#DB,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-DesktopService,domain#IntrinsicTW,domain#DesktopService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-Editor,domain#IntrinsicTW,domain#Editor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-EmailMX,domain#IntrinsicTW,domain#EmailMX,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-RemoteDesktop,domain#IntrinsicTW,domain#RemoteDesktop,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-TextEditor,domain#IntrinsicTW,domain#TextEditor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-WebApp,domain#IntrinsicTW,domain#WebApp,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-WebBrowser,domain#IntrinsicTW,domain#WebBrowser,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-IntrinsicTW-WebClient,domain#IntrinsicTW,domain#WebClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-ApplicationProcess,domain#OutOfService,domain#ApplicationProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-CmdLineProcess,domain#OutOfService,domain#CmdLineProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-DataService,domain#OutOfService,domain#DataService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-DB,domain#OutOfService,domain#DB,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-DesktopService,domain#OutOfService,domain#DesktopService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-Editor,domain#OutOfService,domain#Editor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-EmailMX,domain#OutOfService,domain#EmailMX,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-RemoteDesktop,domain#OutOfService,domain#RemoteDesktop,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-TextEditor,domain#OutOfService,domain#TextEditor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-WebApp,domain#OutOfService,domain#WebApp,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-WebBrowser,domain#OutOfService,domain#WebBrowser,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-OutOfService-WebClient,domain#OutOfService,domain#WebClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-ApplicationProcess,domain#Reliability,domain#ApplicationProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-CmdLineProcess,domain#Reliability,domain#CmdLineProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-DataService,domain#Reliability,domain#DataService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-DB,domain#Reliability,domain#DB,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-DesktopService,domain#Reliability,domain#DesktopService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-Editor,domain#Reliability,domain#Editor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-EmailMX,domain#Reliability,domain#EmailMX,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-RemoteDesktop,domain#Reliability,domain#RemoteDesktop,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-TextEditor,domain#Reliability,domain#TextEditor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-WebApp,domain#Reliability,domain#WebApp,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-WebBrowser,domain#Reliability,domain#WebBrowser,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Reliability-WebClient,domain#Reliability,domain#WebClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-Adult,domain#Timeliness,domain#Adult,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-ApplicationProcess,domain#Timeliness,domain#ApplicationProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-AuthClient,domain#Timeliness,domain#AuthClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-AuthService,domain#Timeliness,domain#AuthService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-Child,domain#Timeliness,domain#Child,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-CmdLineProcess,domain#Timeliness,domain#CmdLineProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-Data,domain#Timeliness,domain#Data,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-DataService,domain#Timeliness,domain#DataService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-DB,domain#Timeliness,domain#DB,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-DesktopService,domain#Timeliness,domain#DesktopService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-Editor,domain#Timeliness,domain#Editor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-EmailClient,domain#Timeliness,domain#EmailClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-EmailMX,domain#Timeliness,domain#EmailMX,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-EmailService,domain#Timeliness,domain#EmailService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-Human,domain#Timeliness,domain#Human,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-LoginService,domain#Timeliness,domain#LoginService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-RemoteDesktop,domain#Timeliness,domain#RemoteDesktop,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-RemoteTerminal,domain#Timeliness,domain#RemoteTerminal,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-SensitiveData,domain#Timeliness,domain#SensitiveData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-SMSClient,domain#Timeliness,domain#SMSClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-SpamData,domain#Timeliness,domain#SpamData,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-TextEditor,domain#Timeliness,domain#TextEditor,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-WebApp,domain#Timeliness,domain#WebApp,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-WebBrowser,domain#Timeliness,domain#WebBrowser,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-Timeliness-WebClient,domain#Timeliness,domain#WebClient,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-TrojanTW-ApplicationProcess,domain#TrojanTW,domain#ApplicationProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-TrojanTW-CmdLineProcess,domain#TrojanTW,domain#CmdLineProcess,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-TrojanTW-DataService,domain#TrojanTW,domain#DataService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-TrojanTW-DB,domain#TrojanTW,domain#DB,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-TrojanTW-DesktopService,domain#TrojanTW,domain#DesktopService,domain#TrustworthinessLevelSafe,TRUE
package#Application,domain#TWAADS-TrojanTW-Editor,domain#TrojanTW,domain#Editor,domain#TrustworthinessLevelSafe,TRUE
