package,URI,metaLocatedAt
domain#000000,domain#000000,domain#AccessContext
package#AccessContext,domain#Control,domain#AccessContext
package#AccessContext,domain#ExploitTW,domain#AccessContext
package#AccessContext,domain#UserTW,domain#AccessContext
package#Application,domain#Authenticity,domain#Data
package#Application,domain#Availability,domain#Data
package#Application,domain#Confidentiality,domain#Data
package#Application,domain#DefaultTW,domain#Data
package#Application,domain#Health,domain#Data
package#Application,domain#Integrity,domain#Data
package#Application,domain#Timeliness,domain#Data
package#Application,domain#Timeliness,domain#Human
package#Application,domain#Timeliness,domain#Process
package#DataLifecycle,domain#Authenticity,domain#DataAsset
package#DataLifecycle,domain#Availability,domain#DataAsset
package#DataLifecycle,domain#Confidentiality,domain#DataContainer
package#DataLifecycle,domain#Decrypted,domain#DataAsset
package#DataLifecycle,domain#Encrypted,domain#DataAsset
package#DataLifecycle,domain#Health,domain#DataAsset
package#DataLifecycle,domain#Integrity,domain#DataAsset
package#DataLifecycle,domain#OutOfService,domain#DataAsset
package#DataLifecycle,domain#OutOfService,domain#DataStep
package#DataLifecycle,domain#Timeliness,domain#DataAsset
package#DataStructure,domain#Authenticity,domain#DataField
package#DataStructure,domain#Availability,domain#DataField
package#DataStructure,domain#Confidentiality,domain#DataField
package#DataStructure,domain#Integrity,domain#DataField
package#DataStructure,domain#Timeliness,domain#DataField
package#IoT,domain#Authenticity,domain#Sensor
package#IoT,domain#Integrity,domain#Sensor
package#IoT,domain#Timeliness,domain#Sensor
package#Network,domain#Availability,domain#DataCentre
package#Network,domain#Availability,domain#Host
package#Network,domain#Availability,domain#NetworkAsset
package#Network,domain#Availability,domain#Process
package#Network,domain#Capacity,domain#DataCentre
package#Network,domain#Control,domain#Host
package#Network,domain#DefaultTW,domain#Host
package#Network,domain#DefaultTW,domain#LogicalSubnet
package#Network,domain#DefaultTW,domain#Process
package#Network,domain#ExploitTW,domain#Host
package#Network,domain#ExploitTW,domain#Process
package#Network,domain#ExtrinsicTW,domain#Host
package#Network,domain#ExtrinsicTW,domain#Process
package#Network,domain#Health,domain#Host
package#Network,domain#Health,domain#Process
package#Network,domain#IntrinsicTW,domain#Host
package#Network,domain#IntrinsicTW,domain#Process
package#Network,domain#NetworkControl,domain#AbstractSubnet
package#Network,domain#NetworkUserTW,domain#AbstractSubnet
package#Network,domain#OutOfService,domain#Host
package#Network,domain#OutOfService,domain#NetworkAsset
package#Network,domain#OutOfService,domain#Process
package#Network,domain#Reliability,domain#Host
package#Network,domain#Reliability,domain#Process
package#Network,domain#ResourceTW,domain#DataCentre
package#Network,domain#ResourceTW,domain#Host
package#Network,domain#TrojanTW,domain#Host
package#Network,domain#TrojanTW,domain#Process
package#Network,domain#Underload,domain#DataCentre
package#Network,domain#UserTW,domain#Host
package#Network,domain#UserTW,domain#Process
package#NetworkConnectivity,domain#BandwidthManaged,domain#Interface
package#NetworkConnectivity,domain#ChannelConfidentiality,domain#AbstractSubnet
package#NetworkConnectivity,domain#ConnectionsBlocked,domain#Interface
package#NetworkConnectivity,domain#ConnectionsBlocked,domain#LogicalPath
package#NetworkConnectivity,domain#ConnectionsBlocked,domain#LogicalSegment
package#NetworkConnectivity,domain#NetworkAuthenticity,domain#Interface
package#Physical,domain#OccupantTW,domain#Space
package#Physical,domain#PhysicalControl,domain#PrivateSpace
package#ProcessComms,domain#AnonUserTW,domain#ClientChannel
package#ProcessComms,domain#ChannelConfidentiality,domain#ConnectionChannel
package#ProcessComms,domain#ClientAuthenticity,domain#AuthChannel
package#ProcessComms,domain#ClientTW,domain#AuthChannel
package#ProcessComms,domain#DeputyUserTW,domain#ClientChannel
package#ProcessComms,domain#OutOfService,domain#ConnectionAsset
package#ProcessComms,domain#ProxyUserTW,domain#ClientChannel
package#ProcessComms,domain#ServiceAuthenticity,domain#AuthChannel
package#ProcessComms,domain#ServiceChannelsBlocked,domain#Interface
package#ProcessComms,domain#ServiceChannelsBlocked,domain#LogicalSegment
package#ProcessComms,domain#ServiceTW,domain#ClientChannel
package#Theft,domain#OwnerControl,domain#AccessContext
package#Theft,domain#OwnerControl,domain#Host
package#Theft,domain#OwnerControl,domain#Process
package#Theft,domain#Possession,domain#PhysicalHost
package#Users,domain#Astuteness,domain#Human
package#Users,domain#Availability,domain#Human
package#Users,domain#Benevolence,domain#Stakeholder
package#Users,domain#Competence,domain#Human
package#Users,domain#Reliability,domain#Human
package#Users,domain#Trust,domain#Human
