package,URI,affectedBy,affects
domain#000000,domain#000000,domain#LossOfExploitTW,domain#ExploitTW
package#AccessContext,domain#TWIS-ExploitTW-LossOfExploitTW,domain#LossOfExploitTW,domain#ExploitTW
package#AccessContext,domain#TWIS-UserTW-LocalLossOfUserTW,domain#LocalLossOfUserTW,domain#UserTW
package#Application,domain#TWIS-Authenticity-LossOfAuthenticity,domain#LossOfAuthenticity,domain#Authenticity
package#Application,domain#TWIS-Confidentiality-LossOfConfidentiality,domain#LossOfConfidentiality,domain#Confidentiality
package#Application,domain#TWIS-Health-MalwareInfection,domain#MalwareInfection,domain#Health
package#Application,domain#TWIS-Integrity-LossOfIntegrity,domain#LossOfIntegrity,domain#Integrity
package#Application,domain#TWIS-Timeliness-LossOfTimeliness,domain#LossOfTimeliness,domain#Timeliness
package#DataLifecycle,domain#TWIS-Decrypted-NotDecrypted,domain#NotDecrypted,domain#Decrypted
package#DataLifecycle,domain#TWIS-Encrypted-NotEncrypted,domain#NotEncrypted,domain#Encrypted
package#Network,domain#TWIS-Capacity-LossOfCapacity,domain#LossOfCapacity,domain#Capacity
package#Network,domain#TWIS-Control-LocalLossOfControl,domain#LocalLossOfControl,domain#Control
package#Network,domain#TWIS-DefaultTW-LossOfDefaultTW,domain#LossOfDefaultTW,domain#DefaultTW
package#Network,domain#TWIS-ExtrinsicTW-LossOfExtrinsicTW,domain#LossOfExtrinsicTW,domain#ExtrinsicTW
package#Network,domain#TWIS-IntrinsicTW-LossOfIntrinsicTW,domain#LossOfIntrinsicTW,domain#IntrinsicTW
package#Network,domain#TWIS-NetworkAccessibility-NetworkAccess,domain#NetworkAccess,domain#NetworkAccessibility
package#Network,domain#TWIS-NetworkControl-LossOfNetworkControl,domain#LossOfNetworkControl,domain#NetworkControl
package#Network,domain#TWIS-NetworkUserTW-LossOfNetworkUserTW,domain#LossOfNetworkUserTW,domain#NetworkUserTW
package#Network,domain#TWIS-OutOfService-InService,domain#InService,domain#OutOfService
package#Network,domain#TWIS-ResourceTW-LossOfResourceTW,domain#LossOfResourceTW,domain#ResourceTW
package#Network,domain#TWIS-TrojanTW-TrojanInsertion,domain#TrojanInsertion,domain#TrojanTW
package#Network,domain#TWIS-Underload-TotalLoad,domain#TotalLoad,domain#Underload
package#NetworkConnectivity,domain#TWIS-BandwidthManaged-BandwidthUnmanaged,domain#BandwidthUnmanaged,domain#BandwidthManaged
package#NetworkConnectivity,domain#TWIS-ChannelConfidentiality-CommsSnoopable,domain#CommsSnoopable,domain#ChannelConfidentiality
package#NetworkConnectivity,domain#TWIS-ConnectionsBlocked-ConnectionsAllowed,domain#ConnectionsAllowed,domain#ConnectionsBlocked
package#NetworkConnectivity,domain#TWIS-NetworkAuthenticity-NetworkSpoofing,domain#NetworkSpoofing,domain#NetworkAuthenticity
package#Physical,domain#TWIS-OccupantTW-PhysicalIntrusion,domain#PhysicalIntrusion,domain#OccupantTW
package#Physical,domain#TWIS-PhysicalControl-PhysicalBreach,domain#PhysicalBreach,domain#PhysicalControl
package#ProcessComms,domain#TWIS-ServiceChannelsBlocked-ServiceChannelsAllowed,domain#ServiceChannelsAllowed,domain#ServiceChannelsBlocked
package#ProcessTrust,domain#TWIS-AnonUserTW-LossOfAnonUserTW,domain#LossOfAnonUserTW,domain#AnonUserTW
package#ProcessTrust,domain#TWIS-ClientAuthenticity-ClientImpersonation,domain#ClientImpersonation,domain#ClientAuthenticity
package#ProcessTrust,domain#TWIS-ClientTW-LossOfClientTW,domain#LossOfClientTW,domain#ClientTW
package#ProcessTrust,domain#TWIS-DeputyUserTW-DeputyConfusion,domain#DeputyConfusion,domain#DeputyUserTW
package#ProcessTrust,domain#TWIS-ProxyUserTW-LossOfProxyUserTW,domain#LossOfProxyUserTW,domain#ProxyUserTW
package#ProcessTrust,domain#TWIS-ServiceAuthenticity-ServiceImpersonation,domain#ServiceImpersonation,domain#ServiceAuthenticity
package#ProcessTrust,domain#TWIS-ServiceTW-LossOfServiceTW,domain#LossOfServiceTW,domain#ServiceTW
package#Theft,domain#TWIS-OwnerControl-TheftOfControl,domain#TheftOfControl,domain#OwnerControl
package#Theft,domain#TWIS-Possession-Theft,domain#Theft,domain#Possession
package#Users,domain#TWIS-Astuteness-LossOfAstuteness,domain#LossOfAstuteness,domain#Astuteness
package#Users,domain#TWIS-Availability-LossOfAvailability,domain#LossOfAvailability,domain#Availability
package#Users,domain#TWIS-Benevolence-LossOfBenevolence,domain#LossOfBenevolence,domain#Benevolence
package#Users,domain#TWIS-Competence-LossOfCompetence,domain#LossOfCompetence,domain#Competence
package#Users,domain#TWIS-Reliability-LossOfReliability,domain#LossOfReliability,domain#Reliability
package#Users,domain#TWIS-Trust-LossOfTrust,domain#LossOfTrust,domain#Trust
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-A-TW-LossOfExtrinsic-A-TW,domain#LossOfExtrinsic-A-TW,domain#Extrinsic-A-TW
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-AU-TW-LossOfExtrinsic-AU-TW,domain#LossOfExtrinsic-AU-TW,domain#Extrinsic-AU-TW
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-C-TW-LossOfExtrinsic-C-TW,domain#LossOfExtrinsic-C-TW,domain#Extrinsic-C-TW
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-I-TW-LossOfExtrinsic-I-TW,domain#LossOfExtrinsic-I-TW,domain#Extrinsic-I-TW
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-M-TW-LossOfExtrinsic-M-TW,domain#LossOfExtrinsic-M-TW,domain#Extrinsic-M-TW
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-QI-TW-LossOfExtrinsic-QI-TW,domain#LossOfExtrinsic-QI-TW,domain#Extrinsic-QI-TW
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-U-TW-LossOfExtrinsic-U-TW,domain#LossOfExtrinsic-U-TW,domain#Extrinsic-U-TW
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-VA-TW-LossOfExtrinsic-VA-TW,domain#LossOfExtrinsic-VA-TW,domain#Extrinsic-VA-TW
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-VL-TW-LossOfExtrinsic-VL-TW,domain#LossOfExtrinsic-VL-TW,domain#Extrinsic-VL-TW
package#VulnerabilityCVSS,domain#TWIS-Extrinsic-VN-TW-LossOfExtrinsic-VN-TW,domain#LossOfExtrinsic-VN-TW,domain#Extrinsic-VN-TW
