package,URI,hasEntryPoint
domain#000000,domain#000000,domain#TWAS-OutOfService-CoreNetwork
package#5G,domain#LS.IS.CNCN.8,domain#TWAS-OutOfService-CoreNetwork
package#Application,domain#D.C.HuiPiDCHS.3,domain#TWAS-Astuteness-Human
package#Application,domain#D.C.HuiPiDCHS.3,domain#TWAS-OccupantTW-Space
package#Application,domain#D.C.HuiPiDCHS.3,domain#TWAS-OutOfService-Process
package#Application,domain#D.C.HuiRACHSPiD.3,domain#TWAS-Astuteness-Human
package#Application,domain#D.C.HuiRACHSPiD.3,domain#TWAS-OccupantTW-Space
package#Application,domain#D.C.HuiRACHSPiD.3,domain#TWAS-OutOfService-Process
package#Application,domain#H.W.HuHWES.3,domain#TWAS-Astuteness-Human
package#CloudManagement,domain#DF.A.PDF.6.2,domain#TWAS-Authenticity-DataFlow
package#DataLifecycle,domain#D.C.HuiPv-iD-FCHS.3,domain#TWAS-Astuteness-Human
package#DataLifecycle,domain#D.C.HuiPv-iD-FCHS.3,domain#TWAS-OccupantTW-Space
package#DataLifecycle,domain#D.C.HuiPv-iD-FCHS.3,domain#TWAS-OutOfService-Process
package#DataLifecycle,domain#D.C.HuiPv-iDFCHS.3,domain#TWAS-Astuteness-Human
package#DataLifecycle,domain#D.C.HuiPv-iDFCHS.3,domain#TWAS-OccupantTW-Space
package#DataLifecycle,domain#D.C.HuiPv-iDFCHS.3,domain#TWAS-OutOfService-DataFlow
package#DataLifecycle,domain#D.C.HuiPv-iDFCHS.3,domain#TWAS-OutOfService-Process
package#DataLifecycle,domain#D.C.HuiRACv-iDFCHS.3,domain#TWAS-Astuteness-Human
package#DataLifecycle,domain#D.C.HuiRACv-iDFCHS.3,domain#TWAS-OccupantTW-Space
package#DataLifecycle,domain#D.C.HuiRACv-iDFCHS.3,domain#TWAS-OutOfService-DataFlow
package#DataLifecycle,domain#D.C.HuiRACv-iDFCHS.3,domain#TWAS-OutOfService-Process
package#DataLifecycle,domain#D.I.D.0,domain#TWAS-Authenticity-Data
package#DataLifecycle,domain#DB.O.DA-VDBs-pDA.6,domain#TWAS-DefaultTW-Service
