package,URI,hasSecondaryEffectCondition
domain#000000,domain#000000,domain#MS-Overloaded-DataStep
package#CloudManagement,domain#CC.AX.CCDFSFS.6.4,domain#MS-Overloaded-DataStep
package#CloudManagement,domain#CC.AX.CCDFSTS.6.4,domain#MS-Overloaded-DataStep
package#CloudManagement,domain#H.A.CVHHDC.0,domain#MS-Overloaded-Host
package#CloudManagement,domain#H.O.CVHHHoDC.0,domain#MS-Overloaded-Host
package#IoT,domain#Co.A.CoPD.0.1,domain#MS-LossOfAvailability-Data
package#IoT,domain#Co.A.CoPD.0.2,domain#MS-LossOfAvailability-Process
package#IoT,domain#Co.A.CoPD.6.2,domain#MS-LossOfAvailability-Data
package#IoT,domain#Co.C.CoPD.0,domain#MS-LossOfConfidentiality-Data
package#IoT,domain#Co.M.CoPD.0,domain#MS-LossOfAuthenticity-Data
package#IoT,domain#Co.U.CoPD.0.1,domain#MS-LossOfIntegrity-Data
package#IoT,domain#Co.U.CoPD.0.2,domain#MS-LossOfTimeliness-Data
package#IoT,domain#Se.A.SePD.0,domain#MS-LossOfAvailability-Data
package#IoT,domain#Se.Auth.SePD.0,domain#MS-LossOfAuthenticity-Data
package#IoT,domain#Se.C.SePD.0,domain#MS-LossOfConfidentiality-Data
package#IoT,domain#Se.I.SePD.0,domain#MS-LossOfIntegrity-Data
package#Legal,domain#CC.AX.CCCmSCS.0,domain#MS-LossOfConnectivity-ServiceChannel
package#Legal,domain#CC.AX.CCCSScS.0,domain#MS-LossOfAccessibility-ClientChannel
package#Legal,domain#CC.AX.CCCvCCS.0,domain#MS-LossOfAccessibility-ProxyChannel
package#Legal,domain#DF.A.CCDFCS-i.0,domain#MS-LossOfAccessibility-ClientChannel
package#Legal,domain#DF.A.CCDFC-SS-i.0,domain#MS-LossOfAvailability-Client
package#Legal,domain#DF.A.CCDFSC-i.0,domain#MS-LossOfAccessibility-ClientChannel
package#Legal,domain#DF.O.CCDS2FC.0,domain#MS-InService-ClientChannel
package#Legal,domain#DF.O.CCDS2FC.0,domain#MS-Overloaded-DataStep
package#Legal,domain#DF.O.CCDS2TC.0,domain#MS-InService-ClientChannel
package#Legal,domain#DF.O.CCDS2TC.0,domain#MS-InService-DataFlow
package#Legal,domain#DF.O.CCDS2TC.0,domain#MS-Overloaded-DataStep
package#Legal,domain#I.A.HLSISC.6.4,domain#MS-LossOfAccessibility-ClientChannel
package#Legal,domain#P.A.HuirRACSPH.0,domain#MS-LossOfAccessibility-ClientChannel
package#Legal,domain#P.O.CCDFSFS.0,domain#MS-InService-ClientChannel
package#Legal,domain#P.O.CCDFSFS.0,domain#MS-Overloaded-DataStep
package#Legal,domain#P.O.CCDFSTS.0,domain#MS-InService-ClientChannel
package#Legal,domain#P.O.CCDFSTS.0,domain#MS-Overloaded-DataStep
package#Legal,domain#SC.A.CCCmSCS.0,domain#MS-LossOfAvailability-Service
package#Legal,domain#SC.A.CCfImSC.0,domain#MS-LossOfAvailability-Interface
package#Legal,domain#SC.A.CCtImSC.0,domain#MS-LossOfAvailability-Interface
package#Legal,domain#SC.A.LSmSC.0,domain#MS-LossOfAvailability-LogicalSubnet
package#Legal,domain#SC.A.SgmSC.0,domain#MS-LossOfAvailability-LogicalSegment
package#LocalDeviceConnectivity,domain#D.A.DallDS.0,domain#MS-LossOfAvailability-DataCopy
package#LocalDeviceConnectivity,domain#DB.A.DBsDRDF.6,domain#MS-NotDecrypted-DataFlow
package#LocalDeviceConnectivity,domain#DB.A.HDBsD.6,domain#MS-NotDecrypted-DataCopy
package#LocalDeviceConnectivity,domain#DB.O.DBsDRSDS.6.1,domain#MS-NotDecrypted-DataCopy
package#LocalDeviceConnectivity,domain#DB.O.HDBsD.6.1,domain#MS-NotDecrypted-DataCopy
package#LocalDeviceConnectivity,domain#DF.A.HPDFDI.6,domain#MS-NotDecrypted-DataFlow
package#LocalDeviceConnectivity,domain#DF.A.HPDODF.6.1,domain#MS-NotDecrypted-DataFlow
